ens_id,name,log2FC,aveEXP,t,p-value,q-value
"ENSG00000000971","CFH","-2.18","3.89","-14.55","1.44e-33","7.38e-33"
"ENSG00000005421","PON1","-2.18","1.91","-9.54","4.05e-18","4.52e-18"
"ENSG00000006118","TMEM132A","2.10","4.77","15.29","6.86e-36","4.38e-35"
"ENSG00000009950","MLXIPL","-2.98","5.45","-14.63","8.14e-34","4.27e-33"
"ENSG00000010327","STAB1","-2.38","6.38","-15.01","5.4e-35","3.18e-34"
"ENSG00000011465","DCN","-4.37","7.06","-16.42","1.95e-39","1.83e-38"
"ENSG00000012171","SEMA3B","-3.20","6.35","-13.84","2.56e-31","1.05e-30"
"ENSG00000012779","ALOX5","-2.31","2.84","-19.17","7.25e-48","1.76e-46"
"ENSG00000012817","KDM5D","-2.34","2.44","-6.44","8.01e-10","4.07e-10"
"ENSG00000018280","SLC11A1","-3.35","3.50","-24.65","1.12e-63","3.03e-61"
"ENSG00000019169","MARCO","-2.74","2.59","-13.73","5.79e-31","2.3e-30"
"ENSG00000019991","HGF","-2.06","2.37","-13.89","1.76e-31","7.35e-31"
"ENSG00000042062","RIPOR3","-2.97","2.98","-20.04","1.72e-50","6.34e-49"
"ENSG00000053918","KCNQ1","-3.56","5.92","-21.60","4.39e-55","2.88e-53"
"ENSG00000054803","CBLN4","-2.31","1.94","-19.29","3.15e-48","8.22e-47"
"ENSG00000055118","KCNH2","2.06","2.57","8.85","3.88e-16","3.54e-16"
"ENSG00000055732","MCOLN3","-2.32","4.72","-11.17","5.26e-23","9.37e-23"
"ENSG00000055955","ITIH4","-3.25","3.72","-18.26","4.04e-45","7.17e-44"
"ENSG00000064300","NGFR","-2.13","3.12","-15.71","3.45e-37","2.52e-36"
"ENSG00000065717","TLE2","-2.26","4.03","-20.01","2.08e-50","7.42e-49"
"ENSG00000066248","NGEF","-2.08","4.59","-8.56","2.41e-15","2.03e-15"
"ENSG00000071967","CYBRD1","-2.07","4.87","-13.38","7.17e-30","2.52e-29"
"ENSG00000072310","SREBF1","-2.65","7.58","-16.47","1.45e-39","1.39e-38"
"ENSG00000077238","IL4R","-2.46","4.20","-18.75","1.32e-46","2.73e-45"
"ENSG00000077942","FBLN1","-3.50","5.09","-17.07","1.9e-41","2.24e-40"
"ENSG00000082438","COBLL1","-2.36","4.77","-15.52","1.32e-36","8.91e-36"
"ENSG00000082482","KCNK2","-3.45","3.61","-18.77","1.16e-46","2.44e-45"
"ENSG00000084734","GCKR","-2.78","2.83","-21.91","5.76e-56","4.38e-54"
"ENSG00000085563","ABCB1","-2.16","6.83","-10.93","2.91e-22","4.87e-22"
"ENSG00000087116","ADAMTS2","-2.02","2.44","-18.93","3.86e-47","8.53e-46"
"ENSG00000087245","MMP2","-2.79","4.58","-17.67","2.71e-43","3.95e-42"
"ENSG00000087250","MT3","2.94","6.70","9.91","3.32e-19","4.12e-19"
"ENSG00000088325","TPX2","2.12","1.90","15.12","2.31e-35","1.42e-34"
"ENSG00000088827","SIGLEC1","-2.08","2.47","-14.46","2.75e-33","1.37e-32"
"ENSG00000090539","CHRD","-2.85","3.19","-20.62","3.26e-52","1.47e-50"
"ENSG00000091428","RAPGEF4","-3.09","4.54","-19.76","1.17e-49","3.71e-48"
"ENSG00000091879","ANGPT2","2.11","1.17","19.92","3.97e-50","1.36e-48"
"ENSG00000092421","SEMA6A","-2.30","4.59","-14.21","1.76e-32","8e-32"
"ENSG00000094963","FMO2","-2.65","2.22","-22.64","4.61e-58","4.49e-56"
"ENSG00000099204","ABLIM1","-3.20","4.68","-16.99","3.35e-41","3.84e-40"
"ENSG00000100362","PVALB","2.01","1.27","11.33","1.69e-23","3.17e-23"
"ENSG00000100526","CDKN3","2.09","2.12","13.65","9.82e-31","3.8e-30"
"ENSG00000100604","CHGA","-3.48","2.70","-7.79","3.04e-13","2.14e-13"
"ENSG00000100867","DHRS2","2.15","1.75","8.28","1.43e-14","1.12e-14"
"ENSG00000100979","PLTP","-2.19","6.36","-10.69","1.56e-21","2.42e-21"
"ENSG00000101197","BIRC7","3.55","1.78","13.11","5.11e-29","1.6e-28"
"ENSG00000102271","KLHL4","-2.50","3.28","-12.49","4.4e-27","1.15e-26"
"ENSG00000102359","SRPX2","-2.09","2.06","-19.27","3.59e-48","9.18e-47"
"ENSG00000102547","CAB39L","-2.27","3.33","-17.46","1.18e-42","1.62e-41"
"ENSG00000103175","WFDC1","-2.50","3.22","-19.40","1.48e-48","4.04e-47"
"ENSG00000103196","CRISPLD2","-2.18","3.43","-17.15","1.1e-41","1.34e-40"
"ENSG00000104327","CALB1","2.67","1.66","10.70","1.4e-21","2.18e-21"
"ENSG00000104368","PLAT","-2.08","4.08","-12.62","1.67e-27","4.58e-27"
"ENSG00000105011","ASF1B","2.14","1.96","15.56","1.01e-36","6.97e-36"
"ENSG00000106236","NPTX2","3.54","5.99","14.41","4.16e-33","2.04e-32"
"ENSG00000106538","RARRES2","-2.62","9.69","-8.92","2.36e-16","2.2e-16"
"ENSG00000106624","AEBP1","-2.63","4.93","-15.96","5.46e-38","4.3e-37"
"ENSG00000106809","OGN","-2.19","1.76","-18.13","1.01e-44","1.69e-43"
"ENSG00000107317","PTGDS","-5.03","5.38","-18.02","2.3e-44","3.64e-43"
"ENSG00000107562","CXCL12","-2.73","4.02","-15.36","4.17e-36","2.73e-35"
"ENSG00000108691","CCL2","-3.08","4.94","-16.11","1.86e-38","1.54e-37"
"ENSG00000108846","ABCC3","-2.86","6.47","-16.48","1.31e-39","1.25e-38"
