ens_id,name,log2FC,aveEXP,t,p-value,q-value
"ENSG00000004776","HSPB6","-5.69","3.13","-14.30","2.54e-38","6.59e-37"
"ENSG00000004799","PDK4","-4.42","2.62","-15.62","5.45e-44","2.23e-42"
"ENSG00000005249","PRKAR2B","-2.19","1.76","-10.85","1.85e-24","1.4e-23"
"ENSG00000006118","TMEM132A","2.57","4.98","12.32","3.85e-30","4.76e-29"
"ENSG00000008441","NFIX","-2.17","3.21","-9.81","1.17e-20","6.33e-20"
"ENSG00000011426","ANLN","2.25","3.91","9.85","8.69e-21","4.73e-20"
"ENSG00000011465","DCN","-3.60","6.44","-8.93","1.17e-17","4.79e-17"
"ENSG00000013810","TACC3","2.29","5.34","12.14","1.97e-29","2.23e-28"
"ENSG00000018236","CNTN1","-2.86","1.37","-10.69","7.59e-24","5.44e-23"
"ENSG00000018625","ATP1A2","-3.65","0.70","-20.23","1.08e-64","2.84e-62"
"ENSG00000020181","ADGRA2","-2.46","2.63","-10.44","6.36e-23","4.14e-22"
"ENSG00000022267","FHL1","-4.87","3.48","-13.61","2.05e-35","4.01e-34"
"ENSG00000025423","HSD17B6","-2.69","2.10","-11.64","1.85e-27","1.83e-26"
"ENSG00000029993","HMGB3","2.39","6.18","13.17","1.43e-33","2.39e-32"
"ENSG00000034971","MYOC","-2.88","0.34","-22.38","1.8e-74","8.93e-72"
"ENSG00000039068","CDH1","2.04","6.47","6.54","1.73e-10","3.38e-10"
"ENSG00000047648","ARHGAP6","-2.27","1.25","-11.37","1.97e-26","1.76e-25"
"ENSG00000048540","LMO3","-3.18","1.41","-12.96","1e-32","1.52e-31"
"ENSG00000048740","CELF2","-2.24","1.44","-12.89","1.98e-32","2.93e-31"
"ENSG00000049540","ELN","-2.69","3.19","-8.19","2.86e-15","9.1e-15"
"ENSG00000050555","LAMC3","-2.21","2.33","-10.49","4.02e-23","2.66e-22"
"ENSG00000051180","RAD51","2.06","3.36","12.00","7.15e-29","7.74e-28"
"ENSG00000052344","PRSS8","2.56","5.13","7.41","6.45e-13","1.65e-12"
"ENSG00000053438","NNAT","-2.24","1.61","-6.07","2.81e-09","4.73e-09"
"ENSG00000055118","KCNH2","-2.56","1.14","-11.74","7.67e-28","7.69e-27"
"ENSG00000059915","PSD","-3.44","2.16","-13.73","6.42e-36","1.3e-34"
"ENSG00000061455","PRDM6","-2.22","0.88","-15.89","3.54e-45","1.63e-43"
"ENSG00000062038","CDH3","2.52","5.16","6.11","2.18e-09","3.72e-09"
"ENSG00000064205","CCN5","-2.53","1.78","-8.19","2.95e-15","9.38e-15"
"ENSG00000065325","GLP2R","-2.26","0.35","-21.43","3.99e-70","1.27e-67"
"ENSG00000065534","MYLK","-4.13","4.04","-11.41","1.45e-26","1.32e-25"
"ENSG00000067840","PDZD4","-2.08","0.83","-13.38","1.88e-34","3.31e-33"
"ENSG00000068615","REEP1","-2.47","0.89","-12.75","7.33e-32","1.02e-30"
"ENSG00000068831","RASGRP2","-2.40","2.01","-11.76","6.51e-28","6.59e-27"
"ENSG00000068976","PYGM","-2.89","0.81","-18.52","6.03e-57","7.68e-55"
"ENSG00000069535","MAOB","-3.12","1.77","-11.37","2.02e-26","1.81e-25"
"ENSG00000069702","TGFBR3","-2.57","2.70","-11.13","1.65e-25","1.38e-24"
"ENSG00000071282","LMCD1","-2.07","4.35","-6.87","2.27e-11","4.92e-11"
"ENSG00000071539","TRIP13","2.21","3.55","10.05","1.66e-21","9.4e-21"
"ENSG00000071967","CYBRD1","-2.54","3.44","-9.50","1.37e-19","6.71e-19"
"ENSG00000072163","LIMS2","-3.39","3.62","-13.24","7.34e-34","1.25e-32"
"ENSG00000072195","SPEG","-2.94","2.59","-10.13","8.22e-22","4.73e-21"
"ENSG00000072952","IRAG1","-2.94","2.13","-13.09","2.87e-33","4.63e-32"
"ENSG00000073712","FERMT2","-2.61","3.26","-10.77","3.89e-24","2.88e-23"
"ENSG00000074416","MGLL","-2.33","3.18","-9.91","5.15e-21","2.84e-20"
"ENSG00000075073","TACR2","-2.75","0.99","-13.50","5.77e-35","1.1e-33"
"ENSG00000075218","GTSE1","2.05","2.84","11.71","9.97e-28","9.93e-27"
"ENSG00000076382","SPAG5","2.45","4.80","13.05","4.26e-33","6.69e-32"
"ENSG00000076555","ACACB","-2.63","1.58","-16.58","3.24e-48","1.85e-46"
"ENSG00000077152","UBE2T","2.24","4.76","12.47","9.85e-31","1.27e-29"
"ENSG00000077157","PPP1R12B","-3.25","2.96","-14.28","3.15e-38","8.03e-37"
"ENSG00000077782","FGFR1","-2.80","3.24","-9.75","1.88e-20","9.95e-20"
"ENSG00000077943","ITGA8","-2.82","1.20","-18.77","4.89e-58","6.82e-56"
"ENSG00000078596","ITM2A","-2.71","2.50","-11.28","4.6e-26","4.04e-25"
"ENSG00000079308","TNS1","-3.88","3.23","-13.47","7.92e-35","1.49e-33"
"ENSG00000079462","PAFAH1B3","2.23","6.38","12.96","1.02e-32","1.55e-31"
"ENSG00000080986","NDC80","2.18","3.49","10.61","1.44e-23","9.99e-23"
"ENSG00000085999","RAD54L","2.24","3.15","12.36","2.62e-30","3.27e-29"
"ENSG00000087258","GNAO1","-2.15","0.89","-12.33","3.62e-30","4.48e-29"
"ENSG00000087586","AURKA","2.39","3.97","11.87","2.26e-28","2.37e-27"
"ENSG00000088325","TPX2","3.20","4.71","13.28","4.67e-34","8.04e-33"
"ENSG00000089356","FXYD3","2.15","9.62","5.03","7.23e-07","8.49e-07"
"ENSG00000089685","BIRC5","3.00","4.51","13.83","2.5e-36","5.23e-35"
"ENSG00000090006","LTBP4","-2.50","5.28","-11.83","3.24e-28","3.36e-27"
"ENSG00000090889","KIF4A","2.13","2.86","11.16","1.27e-25","1.07e-24"
