ens_id,name,log2FC,aveEXP,t,p-value,q-value
"ENSG00000000005","TNMD","-2.91","1.19","-47.02","9.33e-290","1.79e-288"
"ENSG00000003249","DBNDD1","2.16","4.12","32.76","5.83e-175","1.51e-174"
"ENSG00000003436","TFPI","-2.35","3.65","-33.09","1.28e-177","3.4e-177"
"ENSG00000004776","HSPB6","-4.84","4.12","-49.88","3.75e-312","1.36e-310"
"ENSG00000004799","PDK4","-4.21","4.30","-41.76","8.63e-248","7.53e-247"
"ENSG00000004838","ZMYND10","2.06","3.05","20.89","1.72e-84","1.07e-84"
"ENSG00000005102","MEOX1","-2.62","2.09","-36.63","2.77e-206","1.16e-205"
"ENSG00000006118","TMEM132A","2.19","4.94","30.38","5.9e-156","1.13e-155"
"ENSG00000006210","CX3CL1","-2.44","4.55","-26.46","2.54e-125","3.07e-125"
"ENSG00000007314","SCN4A","-2.45","0.95","-48.95","6.77e-305","2.09e-303"
"ENSG00000008311","AASS","-2.41","2.12","-45.06","3.21e-274","4.5e-273"
"ENSG00000009950","MLXIPL","-3.68","1.69","-47.67","6.95e-295","1.51e-293"
"ENSG00000010319","SEMA3G","-2.77","3.23","-39.20","4.08e-227","2.5e-226"
"ENSG00000011426","ANLN","2.69","3.04","38.15","1.5e-218","8.04e-218"
"ENSG00000011465","DCN","-2.23","8.85","-22.39","4.55e-95","3.42e-95"
"ENSG00000013297","CLDN11","-2.37","2.67","-30.82","1.93e-159","3.91e-159"
"ENSG00000013588","GPRC5A","2.86","5.60","27.21","3.98e-131","5.26e-131"
"ENSG00000017427","IGF1","-2.53","2.78","-32.31","2.45e-171","6e-171"
"ENSG00000018625","ATP1A2","-3.19","1.39","-47.98","2.62e-297","5.99e-296"
"ENSG00000019505","SYT13","2.11","1.96","16.47","8.3e-56","3.22e-56"
"ENSG00000022267","FHL1","-4.27","4.88","-46.83","2.86e-288","5.13e-287"
"ENSG00000029993","HMGB3","2.42","5.33","34.06","2.03e-185","5.98e-185"
"ENSG00000034971","MYOC","-2.69","0.71","-42.43","3.34e-253","3.16e-252"
"ENSG00000039068","CDH1","2.21","6.17","18.24","7.82e-67","3.7e-67"
"ENSG00000042062","RIPOR3","-2.03","1.89","-25.97","1.29e-121","1.47e-121"
"ENSG00000049283","EPN3","2.38","3.98","28.91","2.57e-144","4.2e-144"
"ENSG00000051180","RAD51","2.10","2.68","36.81","1.07e-207","4.61e-207"
"ENSG00000052344","PRSS8","2.93","6.46","30.18","2.17e-154","4.07e-154"
"ENSG00000053438","NNAT","-2.74","1.61","-36.54","1.61e-205","6.65e-205"
