ens_id,name,log2FC,aveEXP,t,p-value,q-value
"ENSG00000003436","TFPI","-2.56","2.66","-5.96","6.76e-09","7.57e-09"
"ENSG00000003989","SLC7A2","-2.68","1.65","-5.96","6.78e-09","7.6e-09"
"ENSG00000004776","HSPB6","-6.42","2.66","-15.82","4.66e-42","5.14e-41"
"ENSG00000004799","PDK4","-4.96","1.41","-14.60","2.34e-37","2e-36"
"ENSG00000005001","PRSS22","2.80","5.31","6.62","1.51e-10","2.06e-10"
"ENSG00000005073","HOXA11","-3.17","1.86","-10.03","8.93e-21","2.94e-20"
"ENSG00000005102","MEOX1","-2.27","0.91","-11.69","1.57e-26","7.32e-26"
"ENSG00000005187","ACSM3","-2.47","1.97","-6.51","2.83e-10","3.75e-10"
"ENSG00000005379","TSPOAP1","-2.15","3.16","-6.13","2.61e-09","3.07e-09"
"ENSG00000006071","ABCC8","-2.52","0.30","-16.25","1.01e-43","1.24e-42"
"ENSG00000006118","TMEM132A","2.10","5.24","7.48","7.14e-13","1.23e-12"
"ENSG00000006283","CACNA1G","-2.36","0.36","-19.07","1.01e-54","2.46e-53"
"ENSG00000006327","TNFRSF12A","2.49","6.53","8.07","1.39e-14","2.84e-14"
"ENSG00000006453","BAIAP2L1","2.15","4.78","11.57","4.33e-26","1.98e-25"
"ENSG00000007237","GAS7","-2.87","1.63","-11.83","4.69e-27","2.25e-26"
"ENSG00000007968","E2F2","2.50","2.76","10.34","7.82e-22","2.75e-21"
"ENSG00000008311","AASS","-2.69","1.54","-10.43","4.14e-22","1.49e-21"
"ENSG00000008441","NFIX","-2.13","4.02","-7.09","8.73e-12","1.35e-11"
"ENSG00000008517","IL32","3.77","7.94","9.65","1.67e-19","4.94e-19"
"ENSG00000008710","PKD1","-2.19","4.49","-8.47","9.05e-16","2.06e-15"
"ENSG00000009413","REV3L","-2.44","2.69","-12.45","2.8e-29","1.54e-28"
"ENSG00000010030","ETV7","2.48","3.77","7.56","4.3e-13","7.59e-13"
"ENSG00000010295","IFFO1","-2.74","2.12","-13.23","3.55e-32","2.33e-31"
"ENSG00000010322","NISCH","-2.04","4.55","-10.38","6.09e-22","2.17e-21"
"ENSG00000010810","FYN","-2.23","3.79","-7.57","3.98e-13","7.06e-13"
"ENSG00000011426","ANLN","3.92","4.67","16.86","3.97e-46","5.59e-45"
"ENSG00000011465","DCN","-4.87","5.69","-10.00","1.17e-20","3.83e-20"
"ENSG00000012048","BRCA1","2.02","3.47","10.60","1.03e-22","3.87e-22"
"ENSG00000012171","SEMA3B","-2.42","3.46","-4.78","2.67e-06","2.08e-06"
"ENSG00000013810","TACC3","3.04","5.68","16.05","5.66e-43","6.61e-42"
"ENSG00000017427","IGF1","-2.82","1.57","-7.50","6.33e-13","1.1e-12"
"ENSG00000018625","ATP1A2","-2.73","0.30","-20.12","8.24e-59","2.72e-57"
"ENSG00000019144","PHLDB1","-2.71","4.12","-9.39","1.19e-18","3.3e-18"
"ENSG00000020181","ADGRA2","-3.81","1.81","-13.92","8.78e-35","6.55e-34"
"ENSG00000021762","OSBPL5","-2.47","3.23","-9.50","4.94e-19","1.42e-18"
"ENSG00000022267","FHL1","-5.49","2.84","-13.86","1.51e-34","1.11e-33"
"ENSG00000024526","DEPDC1","2.63","2.81","12.93","4.39e-31","2.72e-30"
"ENSG00000025423","HSD17B6","-2.48","2.20","-9.27","2.72e-18","7.32e-18"
"ENSG00000025708","TYMP","2.96","7.34","7.83","7.27e-14","1.38e-13"
"ENSG00000026025","VIM","-3.05","7.80","-9.22","4.09e-18","1.09e-17"
"ENSG00000029153","BMAL2","2.53","3.74","8.13","9.32e-15","1.93e-14"
"ENSG00000029993","HMGB3","3.78","6.55","15.08","3.33e-39","3.17e-38"
"ENSG00000033327","GAB2","-2.14","1.81","-9.55","3.43e-19","9.94e-19"
"ENSG00000034239","CLXN","-2.29","0.95","-8.10","1.14e-14","2.35e-14"
"ENSG00000035499","DEPDC1B","2.69","3.02","13.34","1.36e-32","9.13e-32"
"ENSG00000035862","TIMP2","-3.47","5.65","-9.97","1.45e-20","4.72e-20"
"ENSG00000037280","FLT4","-2.46","1.07","-14.41","1.26e-36","1.03e-35"
"ENSG00000039068","CDH1","4.34","6.54","16.24","1.1e-43","1.33e-42"
"ENSG00000042062","RIPOR3","-3.80","1.42","-14.15","1.18e-35","9.14e-35"
"ENSG00000043039","BARX2","2.21","3.52","3.80","0.000176","0.000102"
"ENSG00000043355","ZIC2","2.26","2.21","5.82","1.44e-08","1.55e-08"
"ENSG00000046604","DSG2","3.58","4.97","11.66","2.01e-26","9.31e-26"
"ENSG00000046653","GPM6B","-2.22","1.61","-8.98","2.33e-17","5.92e-17"
"ENSG00000047648","ARHGAP6","-2.94","0.63","-18.52","1.44e-52","2.91e-51"
"ENSG00000048540","LMO3","-3.79","1.03","-11.52","6.09e-26","2.74e-25"
"ENSG00000049283","EPN3","2.66","4.37","8.57","4.31e-16","1.01e-15"
"ENSG00000049540","ELN","-3.49","3.13","-6.60","1.7e-10","2.3e-10"
"ENSG00000050165","DKK3","-2.21","4.02","-5.52","7.17e-08","6.99e-08"
"ENSG00000050555","LAMC3","-2.59","2.53","-7.60","3.19e-13","5.72e-13"
"ENSG00000050628","PTGER3","-2.36","0.57","-12.09","5.62e-28","2.9e-27"
"ENSG00000051180","RAD51","3.28","4.04","17.83","7.13e-50","1.23e-48"
"ENSG00000051341","POLQ","2.17","2.37","10.74","3.57e-23","1.39e-22"
"ENSG00000052344","PRSS8","4.11","6.56","14.12","1.55e-35","1.2e-34"
"ENSG00000054938","CHRDL2","-3.73","1.11","-11.62","2.75e-26","1.27e-25"
"ENSG00000056487","PHF21B","-2.26","0.30","-17.55","8.18e-49","1.36e-47"
"ENSG00000057149","SERPINB3","3.90","6.85","4.38","1.62e-05","1.11e-05"
"ENSG00000058085","LAMC2","3.36","5.63","6.80","5.09e-11","7.34e-11"
"ENSG00000059915","PSD","-3.53","1.70","-16.93","2.28e-46","3.27e-45"
"ENSG00000060558","GNA15","3.08","5.26","8.15","8.1e-15","1.68e-14"
"ENSG00000062038","CDH3","2.82","7.00","6.94","2.24e-11","3.34e-11"
"ENSG00000062822","POLD1","2.03","5.83","10.26","1.51e-21","5.23e-21"
"ENSG00000064205","CCN5","-5.69","1.77","-13.66","8.5e-34","6.01e-33"
"ENSG00000064692","SNCAIP","-2.08","2.06","-6.09","3.26e-09","3.81e-09"
"ENSG00000065328","MCM10","2.45","2.64","12.25","1.46e-28","7.74e-28"
"ENSG00000065534","MYLK","-4.54","3.30","-10.71","4.34e-23","1.67e-22"
"ENSG00000065618","COL17A1","2.79","4.68","3.68","0.000278","0.000155"
"ENSG00000066056","TIE1","-2.70","1.94","-12.20","2.17e-28","1.13e-27"
"ENSG00000066279","ASPM","3.38","3.60","16.78","8.71e-46","1.2e-44"
"ENSG00000066629","EML1","-2.24","1.67","-8.87","5.32e-17","1.32e-16"
"ENSG00000067113","PLPP1","-2.10","4.43","-8.47","9.16e-16","2.08e-15"
"ENSG00000067445","TRO","-3.52","1.37","-12.24","1.64e-28","8.66e-28"
"ENSG00000067840","PDZD4","-2.36","0.95","-10.81","1.92e-23","7.61e-23"
"ENSG00000068078","FGFR3","2.22","4.75","4.38","1.64e-05","1.13e-05"
"ENSG00000068489","PRR11","2.77","3.56","12.48","2.08e-29","1.16e-28"
"ENSG00000068831","RASGRP2","-2.97","1.91","-13.37","1.07e-32","7.21e-32"
"ENSG00000068976","PYGM","-2.21","0.51","-20.06","1.39e-58","4.44e-57"
"ENSG00000069011","PITX1","4.43","6.19","9.73","9.01e-20","2.73e-19"
"ENSG00000069122","ADGRF5","-2.05","1.36","-10.49","2.58e-22","9.43e-22"
"ENSG00000069431","ABCC9","-2.68","0.47","-22.03","3.67e-66","2.08e-64"
"ENSG00000069535","MAOB","-3.22","2.10","-8.37","1.75e-15","3.85e-15"
"ENSG00000069702","TGFBR3","-4.06","1.58","-16.03","7.04e-43","8.14e-42"
"ENSG00000069812","HES2","2.72","4.01","5.27","2.54e-07","2.3e-07"
"ENSG00000070193","FGF10","-3.29","0.29","-26.63","3.1e-83","7.9e-81"
"ENSG00000070404","FSTL3","-2.10","3.88","-5.48","8.43e-08","8.1e-08"
"ENSG00000071539","TRIP13","2.83","4.02","12.64","5.63e-30","3.26e-29"
"ENSG00000071967","CYBRD1","-3.10","3.91","-9.68","1.3e-19","3.88e-19"
"ENSG00000072163","LIMS2","-4.22","2.94","-15.10","2.84e-39","2.72e-38"
"ENSG00000072195","SPEG","-3.59","2.98","-9.78","6.16e-20","1.9e-19"
"ENSG00000072571","HMMR","3.05","3.39","13.19","4.94e-32","3.19e-31"
"ENSG00000072832","CRMP1","-2.02","1.95","-5.58","5.05e-08","5.04e-08"
"ENSG00000072952","IRAG1","-3.92","1.45","-16.98","1.42e-46","2.05e-45"
"ENSG00000073111","MCM2","3.58","6.05","15.63","2.47e-41","2.62e-40"
"ENSG00000073282","TP63","3.04","4.68","4.11","5.11e-05","3.24e-05"
"ENSG00000073712","FERMT2","-3.14","2.71","-9.34","1.71e-18","4.67e-18"
"ENSG00000073910","FRY","-2.55","1.69","-9.18","5.49e-18","1.45e-17"
