ens_id,name,log2FC,aveEXP,t,p-value,q-value
"ENSG00000000971","CFH","-3.35","6.09","-5.99","2.75e-07","4.06e-08"
"ENSG00000003989","SLC7A2","-3.40","2.86","-9.30","3.18e-12","1.43e-12"
"ENSG00000005001","PRSS22","3.95","3.97","7.11","5.64e-09","1.15e-09"
"ENSG00000005421","PON1","-5.88","4.25","-7.76","5.84e-10","1.47e-10"
"ENSG00000005471","ABCB4","-4.22","2.47","-7.54","1.25e-09","2.94e-10"
"ENSG00000005884","ITGA3","4.15","4.73","7.89","3.65e-10","9.61e-11"
"ENSG00000006118","TMEM132A","4.83","4.60","8.50","4.51e-11","1.47e-11"
"ENSG00000006611","USH1C","5.40","5.18","11.55","2.46e-15","3.41e-15"
"ENSG00000007062","PROM1","3.20","3.81","4.56","3.66e-05","3.86e-06"
"ENSG00000007306","CEACAM7","3.59","3.02","3.75","0.000479","4.34e-05"
"ENSG00000007384","RHBDF1","3.26","4.66","11.56","2.41e-15","3.35e-15"
"ENSG00000007933","FMO3","-5.36","3.91","-8.24","1.12e-10","3.32e-11"
"ENSG00000008283","CYB561","3.06","4.99","12.76","6.94e-17","1.94e-16"
"ENSG00000009724","MASP2","-6.09","2.72","-10.37","9.63e-14","6.88e-14"
"ENSG00000011638","LDAF1","3.05","3.42","7.72","6.57e-10","1.63e-10"
"ENSG00000012779","ALOX5","3.08","3.94","5.45","1.78e-06","2.29e-07"
"ENSG00000013364","MVP","3.09","6.99","14.16","1.39e-18","1.16e-17"
"ENSG00000014914","MTMR11","3.44","3.80","7.39","2.08e-09","4.64e-10"
"ENSG00000019144","PHLDB1","3.05","4.47","9.41","2.18e-12","1.03e-12"
"ENSG00000019169","MARCO","-3.16","2.31","-6.79","1.7e-08","3.15e-09"
"ENSG00000019505","SYT13","3.97","3.54","6.30","9.44e-08","1.51e-08"
"ENSG00000021300","PLEKHB1","4.27","4.70","9.08","6.44e-12","2.63e-12"
"ENSG00000021826","CPS1","-7.17","2.99","-10.81","2.45e-14","2.17e-14"
"ENSG00000021852","C8B","-5.29","3.70","-8.26","1.02e-10","3.06e-11"
"ENSG00000025423","HSD17B6","-6.68","3.62","-8.67","2.55e-11","8.78e-12"
"ENSG00000026025","VIM","3.03","8.68","7.04","7.04e-09","1.41e-09"
"ENSG00000034510","TMSB10","4.10","11.52","14.01","2.1e-18","1.53e-17"
"ENSG00000035115","SH3YL1","3.28","5.58","8.51","4.43e-11","1.44e-11"
"ENSG00000035499","DEPDC1B","3.02","2.66","5.78","5.69e-07","7.93e-08"
"ENSG00000036473","OTC","-5.08","2.32","-8.75","1.97e-11","6.98e-12"
"ENSG00000038427","VCAN","3.31","3.64","5.42","1.99e-06","2.54e-07"
"ENSG00000039537","C6","-4.58","3.82","-6.98","8.85e-09","1.74e-09"
"ENSG00000042493","CAPG","3.90","6.10","9.70","8.26e-13","4.44e-13"
"ENSG00000046604","DSG2","3.12","4.92","7.62","9.24e-10","2.23e-10"
"ENSG00000047457","CP","-4.47","5.71","-5.26","3.42e-06","4.22e-07"
"ENSG00000050344","NFE2L3","3.14","3.55","8.96","9.81e-12","3.79e-12"
"ENSG00000051128","HOMER3","3.71","4.91","10.27","1.32e-13","9.11e-14"
