ens_id,name,log2FC,aveEXP,t,p-value,q-value
"ENSG00000001626","CFTR","2.29","3.68","16.15","1.87e-49","3.73e-50"
"ENSG00000002726","AOC1","2.49","4.87","12.16","9.21e-31","1.21e-31"
"ENSG00000003147","ICA1","2.08","4.53","27.75","7.1e-112","7.35e-112"
"ENSG00000004776","HSPB6","-4.98","5.33","-30.11","9.48e-125","1.4e-124"
"ENSG00000004799","PDK4","-4.06","4.74","-34.33","2.71e-147","8.01e-147"
"ENSG00000005001","PRSS22","3.54","2.33","45.50","7.86e-203","1.82e-201"
"ENSG00000006327","TNFRSF12A","2.47","4.78","25.76","6.08e-101","4.54e-101"
"ENSG00000006453","BAIAP2L1","2.13","4.14","21.06","3.06e-75","1.15e-75"
"ENSG00000006611","USH1C","2.53","5.04","17.25","4.56e-55","1.04e-55"
"ENSG00000007952","NOX1","3.29","4.01","19.96","2.62e-69","8.48e-70"
"ENSG00000008311","AASS","-2.07","2.25","-25.86","1.6e-101","1.22e-101"
"ENSG00000008517","IL32","2.45","7.37","20.23","1.02e-70","3.41e-71"
"ENSG00000008710","PKD1","-2.26","5.57","-23.94","5.87e-91","3.26e-91"
"ENSG00000010295","IFFO1","-2.36","3.22","-30.69","6.3e-128","1.03e-127"
"ENSG00000010327","STAB1","-2.49","5.18","-31.27","4.88e-131","8.75e-131"
"ENSG00000010438","PRSS3","2.64","5.56","15.95","1.81e-48","3.54e-49"
"ENSG00000011052","NME1-NME2","2.44","3.89","33.44","1.27e-142","3.18e-142"
"ENSG00000011422","PLAUR","2.09","4.73","24.62","1.14e-94","7.06e-95"
"ENSG00000011426","ANLN","2.79","2.70","50.32","1.03e-224","5.04e-223"
"ENSG00000011465","DCN","-2.17","7.63","-17.14","1.71e-54","3.86e-55"
"ENSG00000013588","GPRC5A","3.45","5.02","24.95","1.68e-96","1.1e-96"
"ENSG00000015413","DPEP1","5.47","3.24","40.97","4.1e-181","3.65e-180"
"ENSG00000016402","IL20RA","2.01","2.52","33.16","3.7e-141","8.99e-141"
"ENSG00000016602","CLCA4","-2.53","2.84","-10.80","4.47e-25","5.18e-26"
"ENSG00000017483","SLC38A5","2.48","4.03","19.93","3.8e-69","1.22e-69"
"ENSG00000018625","ATP1A2","-3.94","2.59","-35.33","1.57e-152","5.6e-152"
"ENSG00000022267","FHL1","-4.73","5.92","-36.67","1.82e-159","7.92e-159"
"ENSG00000023902","PLEKHO1","-2.70","5.50","-21.50","1.26e-77","5.01e-78"
"ENSG00000024422","EHD2","-2.04","4.82","-19.91","5.17e-69","1.65e-69"
"ENSG00000025772","TOMM34","2.23","4.54","41.59","3.93e-184","4.07e-183"
"ENSG00000029993","HMGB3","2.66","4.67","29.39","6.98e-121","9.31e-121"
"ENSG00000034971","MYOC","-2.55","1.55","-29.40","6.33e-121","8.48e-121"
"ENSG00000035499","DEPDC1B","2.27","1.93","38.66","1.27e-169","7.8e-169"
"ENSG00000039068","CDH1","3.68","5.30","20.78","1.02e-73","3.65e-74"
"ENSG00000042062","RIPOR3","-2.62","2.25","-34.87","3.87e-150","1.28e-149"
"ENSG00000042493","CAPG","2.40","6.23","28.07","1.23e-113","1.34e-113"
"ENSG00000044012","GUCA2B","-2.68","2.31","-13.92","1.13e-38","1.74e-39"
"ENSG00000046604","DSG2","3.00","4.63","20.96","1.14e-74","4.19e-75"
"ENSG00000046653","GPM6B","-2.55","2.29","-27.19","8.22e-109","7.77e-109"
"ENSG00000047457","CP","-2.16","2.28","-25.09","2.93e-97","1.97e-97"
"ENSG00000048540","LMO3","-3.74","2.91","-27.99","3.16e-113","3.38e-113"
"ENSG00000050344","NFE2L3","3.38","4.06","60.51","4.33e-267","1e-264"
"ENSG00000051180","RAD51","2.27","2.49","30.15","5.69e-125","8.52e-125"
"ENSG00000052344","PRSS8","3.19","5.57","15.57","1.43e-46","2.67e-47"
"ENSG00000053438","NNAT","-3.24","2.87","-24.97","1.27e-96","8.36e-97"
"ENSG00000053918","KCNQ1","2.82","3.97","23.71","1.15e-89","6.18e-90"
"ENSG00000054219","LY75","2.40","2.96","26.81","9.31e-107","8.37e-107"
"ENSG00000055118","KCNH2","-2.04","3.55","-16.20","9.57e-50","1.93e-50"
"ENSG00000057294","PKP2","2.13","4.09","15.93","2.13e-48","4.16e-49"
"ENSG00000058085","LAMC2","3.04","3.69","34.86","4.22e-150","1.39e-149"
"ENSG00000058668","ATP2B4","-2.74","4.88","-22.46","7.78e-83","3.52e-83"
"ENSG00000059915","PSD","-4.32","4.03","-27.27","2.96e-109","2.83e-109"
"ENSG00000060718","COL11A1","2.53","1.77","27.30","2.09e-109","2.01e-109"
"ENSG00000062038","CDH3","4.97","2.70","90.69","0","0"
"ENSG00000062282","DGAT2","2.41","2.82","29.83","3e-123","4.29e-123"
"ENSG00000064205","CCN5","-2.87","2.15","-33.82","1.34e-144","3.58e-144"
"ENSG00000064300","NGFR","-2.32","2.07","-28.89","3.76e-118","4.63e-118"
"ENSG00000064651","SLC12A2","2.61","4.96","37.98","3.42e-166","1.83e-165"
"ENSG00000065320","NTN1","-2.21","2.11","-31.06","6.38e-130","1.11e-129"
"ENSG00000065325","GLP2R","-2.69","1.78","-45.44","1.55e-202","3.5e-201"
"ENSG00000065534","MYLK","-3.41","6.38","-22.10","7.06e-81","3.06e-81"
"ENSG00000065621","GSTO2","2.21","3.00","22.28","7.3e-82","3.23e-82"
"ENSG00000066279","ASPM","2.04","1.66","39.51","6.92e-174","4.79e-173"
"ENSG00000066468","FGFR2","-2.33","3.55","-26.37","2.49e-104","2.1e-104"
"ENSG00000066629","EML1","-2.27","2.98","-23.04","5.22e-86","2.55e-86"
"ENSG00000067445","TRO","-2.00","2.09","-23.93","6.39e-91","3.54e-91"
"ENSG00000067840","PDZD4","-3.01","2.09","-33.59","2.13e-143","5.47e-143"
"ENSG00000068489","PRR11","2.61","2.18","46.33","1.15e-206","3.56e-205"
"ENSG00000068615","REEP1","-2.30","2.69","-19.37","3.75e-66","1.13e-66"
"ENSG00000068831","RASGRP2","-3.04","3.27","-34.97","1.1e-150","3.76e-150"
"ENSG00000068976","PYGM","-2.84","2.04","-29.05","5.47e-119","6.87e-119"
"ENSG00000069535","MAOB","-2.55","3.21","-23.76","5.81e-90","3.15e-90"
"ENSG00000070019","GUCY2C","2.21","3.29","15.52","2.39e-46","4.45e-47"
"ENSG00000071203","MS4A12","-2.51","2.88","-10.81","4.05e-25","4.7e-26"
"ENSG00000071205","ARHGAP10","-2.37","3.28","-24.17","3.3e-92","1.92e-92"
"ENSG00000071539","TRIP13","2.73","2.26","54.70","1.5e-243","1.98e-241"
"ENSG00000071967","CYBRD1","-2.03","4.43","-21.85","1.72e-79","7.21e-80"
"ENSG00000071991","CDH19","-2.66","1.62","-29.79","4.84e-123","6.88e-123"
"ENSG00000072163","LIMS2","-4.03","5.54","-28.45","9.59e-116","1.11e-115"
"ENSG00000072195","SPEG","-4.48","4.13","-30.15","5.86e-125","8.73e-125"
"ENSG00000072571","HMMR","2.72","2.27","39.14","4.84e-172","3.16e-171"
"ENSG00000072952","IRAG1","-2.50","3.67","-23.50","1.53e-88","8.01e-89"
