ens_id,name,log2FC,aveEXP,t,p-value,q-value
"ENSG00000000971","CFH","3.42","1.31","37.02","2.81e-79","3.7e-78"
"ENSG00000001629","ANKIB1","-2.31","4.08","-21.13","1.11e-47","1.5e-47"
"ENSG00000002933","TMEM176A","5.80","2.61","42.59","6.18e-88","1.53e-86"
"ENSG00000003249","DBNDD1","-3.16","3.18","-13.24","2.52e-27","6.11e-28"
"ENSG00000003436","TFPI","2.02","0.86","24.09","1.71e-54","4.19e-54"
"ENSG00000004399","PLXND1","5.26","2.59","58.04","1.05e-107","2.15e-105"
"ENSG00000005483","KMT2E","-2.07","4.43","-15.73","5.09e-34","2.04e-34"
"ENSG00000006210","CX3CL1","2.18","1.21","19.79","2.01e-44","2.06e-44"
"ENSG00000006534","ALDH3B1","2.34","1.20","28.18","3.59e-63","1.74e-62"
"ENSG00000006659","LGALS14","-3.59","2.57","-21.62","7.86e-49","1.19e-48"
"ENSG00000007312","CD79B","2.11","7.77","14.55","7.23e-31","2.3e-31"
"ENSG00000008256","CYTH3","-2.20","2.90","-12.75","5.54e-26","1.23e-26"
"ENSG00000010310","GIPR","-3.54","3.35","-33.35","5.65e-73","5.57e-72"
"ENSG00000010327","STAB1","4.03","1.57","34.03","3.49e-74","3.62e-73"
"ENSG00000010610","CD4","4.20","2.78","24.33","4.84e-55","1.25e-54"
"ENSG00000011028","MRC2","3.02","2.06","24.58","1.36e-55","3.74e-55"
"ENSG00000011422","PLAUR","2.23","3.29","13.72","1.24e-28","3.29e-29"
"ENSG00000011465","DCN","4.00","2.88","22.42","1.02e-50","1.82e-50"
"ENSG00000011590","ZBTB32","-3.48","5.16","-17.75","2.69e-39","1.69e-39"
"ENSG00000011600","TYROBP","6.10","3.86","33.33","6.13e-73","5.97e-72"
"ENSG00000013016","EHD3","2.97","1.33","17.95","7.88e-40","5.21e-40"
"ENSG00000013583","HEBP1","3.07","2.05","25.54","1.15e-57","3.66e-57"
"ENSG00000013725","CD6","2.05","2.25","13.17","4.08e-27","9.74e-28"
"ENSG00000017427","IGF1","-2.86","3.15","-21.44","2.08e-48","3.03e-48"
"ENSG00000019144","PHLDB1","2.59","1.29","36.22","6.06e-78","7.29e-77"
"ENSG00000019169","MARCO","3.86","1.48","17.27","4.49e-38","2.57e-38"
"ENSG00000021300","PLEKHB1","2.23","1.58","19.68","3.73e-44","3.72e-44"
"ENSG00000024422","EHD2","2.68","1.11","37.77","1.69e-80","2.47e-79"
"ENSG00000025039","RRAGD","-2.11","4.45","-13.34","1.38e-27","3.4e-28"
"ENSG00000025434","NR1H3","4.54","4.02","40.23","2.13e-84","4.06e-83"
"ENSG00000026103","FAS","-2.30","5.37","-16.41","7.84e-36","3.66e-36"
"ENSG00000026751","SLAMF7","-2.05","7.05","-11.85","1.56e-23","2.95e-24"
"ENSG00000029153","BMAL2","-2.70","4.20","-23.69","1.33e-53","3.07e-53"
"ENSG00000030419","IKZF2","-4.63","4.38","-32.27","5.03e-71","4.2e-70"
"ENSG00000033178","UBA6","-2.22","4.21","-17.48","1.27e-38","7.62e-39"
