ens_id,name,log2FC,aveEXP,t,p-value,q-value
"ENSG00000002726","AOC1","2.00","2.20","10.97","4.26e-25","8.92e-26"
"ENSG00000004776","HSPB6","-2.08","4.47","-14.93","1.51e-41","5.46e-42"
"ENSG00000006327","TNFRSF12A","2.50","4.57","22.24","2.09e-75","3.2e-75"
"ENSG00000006611","USH1C","2.65","1.37","15.40","1.32e-43","5.17e-44"
"ENSG00000008517","IL32","3.32","5.51","28.71","1.98e-105","1.65e-104"
"ENSG00000008952","SEC62","2.58","5.58","34.30","4.9e-130","2.19e-128"
"ENSG00000011422","PLAUR","2.85","4.11","27.94","6.46e-102","4.17e-101"
"ENSG00000011426","ANLN","2.13","3.96","23.42","5.64e-81","1.12e-80"
"ENSG00000013588","GPRC5A","2.44","4.95","13.89","5.42e-37","1.68e-37"
"ENSG00000016602","CLCA4","-5.33","5.48","-24.55","2.93e-86","7.41e-86"
"ENSG00000018625","ATP1A2","-2.16","2.04","-21.86","1.36e-73","1.89e-73"
"ENSG00000022267","FHL1","-2.34","5.47","-17.76","2.37e-54","1.4e-54"
"ENSG00000033170","FUT8","2.04","3.15","23.89","3.86e-83","8.57e-83"
"ENSG00000038427","VCAN","2.55","3.17","20.12","2.12e-65","2.01e-65"
"ENSG00000039560","RAI14","2.03","3.43","26.28","2.59e-94","9.82e-94"
"ENSG00000041982","TNC","2.21","4.72","13.48","2.98e-35","8.7e-36"
"ENSG00000043039","BARX2","-3.02","5.17","-20.34","1.86e-66","1.84e-66"
"ENSG00000046604","DSG2","3.34","4.07","37.73","2.53e-144","2.88e-142"
"ENSG00000048649","RSF1","2.11","3.84","36.23","3.99e-138","3.33e-136"
"ENSG00000050344","NFE2L3","2.13","3.29","25.73","9.78e-92","3.27e-91"
"ENSG00000053918","KCNQ1","2.02","1.98","14.25","1.47e-38","4.82e-39"
"ENSG00000055332","EIF2AK2","2.56","3.33","39.32","1.05e-150","2.19e-148"
"ENSG00000057149","SERPINB3","-3.74","6.63","-14.41","2.96e-39","9.93e-40"
"ENSG00000058085","LAMC2","3.72","4.18","31.90","1.19e-119","2.77e-118"
"ENSG00000060718","COL11A1","2.21","0.93","17.96","2.8e-55","1.71e-55"
"ENSG00000064205","CCN5","-2.90","2.92","-23.74","1.88e-82","4.01e-82"
"ENSG00000064651","SLC12A2","2.29","3.02","19.13","9.46e-61","7.27e-61"
"ENSG00000066405","CLDN18","2.62","1.57","10.80","1.91e-24","3.93e-25"
