ens_id,name,log2FC,aveEXP,t,p-value,q-value
"ENSG00000000003","TSPAN6","3.20","4.49","42.69","2.2e-124","3.96e-123"
"ENSG00000001036","FUCA2","2.13","4.26","30.59","3.91e-91","4.83e-91"
"ENSG00000002549","LAP3","2.15","6.02","28.29","5.58e-84","4.57e-84"
"ENSG00000002586","CD99","3.65","7.95","33.13","9.74e-99","1.99e-98"
"ENSG00000002746","HECW1","-2.06","1.65","-23.05","1.45e-66","5.48e-67"
"ENSG00000002933","TMEM176A","2.25","5.16","15.92","4.93e-41","8.61e-42"
"ENSG00000003096","KLHL13","2.16","2.58","26.58","1.96e-78","1.21e-78"
"ENSG00000003436","TFPI","2.87","2.85","24.58","8.58e-72","3.95e-72"
"ENSG00000004455","AK2","2.02","6.25","36.78","4.73e-109","2.21e-108"
"ENSG00000004660","CAMKK1","-3.26","3.81","-28.20","1.07e-83","8.64e-84"
"ENSG00000005059","MCUB","3.25","3.31","33.57","5.21e-100","1.16e-99"
"ENSG00000005379","TSPOAP1","-3.44","4.91","-27.25","1.29e-80","8.86e-81"
"ENSG00000006016","CRLF1","-2.42","3.90","-15.67","3.96e-40","6.75e-41"
"ENSG00000006071","ABCC8","-3.46","3.70","-26.84","2.76e-79","1.79e-79"
"ENSG00000006116","CACNG3","-4.20","2.41","-36.51","2.66e-108","1.13e-107"
"ENSG00000006327","TNFRSF12A","4.82","4.53","33.82","1.02e-100","2.36e-100"
"ENSG00000006432","MAP3K9","-2.17","1.53","-29.73","1.76e-88","1.87e-88"
"ENSG00000006468","ETV1","2.98","4.65","28.61","5.73e-85","4.98e-85"
"ENSG00000006634","DBF4","2.23","2.90","28.87","8.18e-86","7.39e-86"
"ENSG00000006740","ARHGAP44","-3.18","2.46","-33.50","8.38e-100","1.82e-99"
"ENSG00000006747","SCIN","3.11","2.76","21.53","2.84e-61","9.01e-62"
"ENSG00000007264","MATK","-3.80","3.03","-42.70","2.04e-124","3.75e-123"
"ENSG00000007516","BAIAP3","-2.57","4.67","-16.78","3.44e-44","6.5e-45"
"ENSG00000008056","SYN1","-4.12","4.95","-26.16","4.64e-77","2.64e-77"
"ENSG00000008118","CAMK1G","-3.90","2.83","-30.81","8.16e-92","1.06e-91"
"ENSG00000008282","SYPL1","2.33","5.30","29.47","1.07e-87","1.08e-87"
"ENSG00000008517","IL32","2.37","4.58","17.79","7.72e-48","1.62e-48"
"ENSG00000008710","PKD1","-2.14","6.28","-16.95","8.47e-45","1.63e-45"
