ens_id,name,log2FC,aveEXP,t,p-value,q-value
"ENSG00000004776","HSPB6","-3.18","2.79","-9.92","1.75e-21","4.51e-21"
"ENSG00000004799","PDK4","-2.44","1.62","-11.41","2.89e-27","1.64e-26"
"ENSG00000006118","TMEM132A","2.08","5.54","14.66","1.72e-41","6.07e-40"
"ENSG00000007306","CEACAM7","-2.43","1.48","-9.64","1.84e-20","4.23e-20"
"ENSG00000008394","MGST1","-2.18","4.21","-5.13","4.06e-07","1.83e-07"
"ENSG00000012223","LTF","-4.21","2.85","-8.99","3.66e-18","6.33e-18"
"ENSG00000016602","CLCA4","-3.05","2.46","-9.90","1.99e-21","5.1e-21"
"ENSG00000019102","VSIG2","-2.43","1.13","-12.31","4.96e-31","4.55e-30"
"ENSG00000022267","FHL1","-2.05","4.47","-6.50","1.77e-10","1.2e-10"
"ENSG00000025708","TYMP","2.07","7.98","11.35","4.69e-27","2.59e-26"
"ENSG00000041982","TNC","2.10","6.81","7.15","2.71e-12","2.3e-12"
"ENSG00000043039","BARX2","-2.30","3.93","-9.72","9.56e-21","2.26e-20"
"ENSG00000053747","LAMA3","2.82","6.40","11.50","1.25e-27","7.47e-27"
"ENSG00000058085","LAMC2","3.73","7.36","13.72","3.43e-37","7.05e-36"
"ENSG00000060718","COL11A1","2.40","2.69","7.82","2.54e-14","2.71e-14"
"ENSG00000064655","EYA2","-2.05","2.63","-7.51","2.34e-13","2.24e-13"
"ENSG00000068976","PYGM","-3.03","1.14","-11.32","6.62e-27","3.59e-26"
"ENSG00000070404","FSTL3","2.08","4.42","9.57","3.4e-20","7.49e-20"
"ENSG00000073792","IGF2BP2","2.45","4.23","11.26","1.11e-26","5.81e-26"
"ENSG00000075618","FSCN1","2.23","8.00","14.95","8.22e-43","3.32e-41"
"ENSG00000077522","ACTN2","-2.30","2.08","-5.66","2.44e-08","1.29e-08"
"ENSG00000078098","FAP","2.43","3.59","11.29","8.51e-27","4.51e-26"
"ENSG00000078898","BPIFB2","-2.47","1.07","-6.87","1.69e-11","1.31e-11"
"ENSG00000079385","CEACAM1","-2.23","3.11","-9.94","1.44e-21","3.76e-21"
"ENSG00000086548","CEACAM6","-2.22","4.55","-7.02","6.29e-12","5.15e-12"
"ENSG00000087116","ADAMTS2","2.40","3.43","11.10","5.06e-26","2.44e-25"
"ENSG00000087494","PTHLH","3.47","6.53","11.11","4.53e-26","2.2e-25"
"ENSG00000088325","TPX2","2.18","5.06","15.49","2.27e-45","1.33e-43"
"ENSG00000089685","BIRC5","2.08","4.86","17.09","4.38e-53","6.68e-51"
"ENSG00000090530","P3H2","2.13","4.58","8.10","3.34e-15","3.97e-15"
"ENSG00000091409","ITGA6","2.02","7.08","9.74","7.73e-21","1.85e-20"
"ENSG00000091513","TF","-2.73","1.70","-11.08","5.64e-26","2.69e-25"
"ENSG00000092054","MYH7","-3.01","1.64","-8.17","2.02e-15","2.47e-15"
"ENSG00000094755","GABRP","-2.48","2.09","-7.54","1.88e-13","1.81e-13"
"ENSG00000094963","FMO2","-3.51","1.79","-15.09","1.72e-43","7.52e-42"
"ENSG00000095970","TREM2","2.04","3.60","10.64","3.07e-24","1.13e-23"
"ENSG00000096006","CRISP3","-5.09","1.26","-20.34","1.9e-69","5.22e-66"
"ENSG00000099953","MMP11","4.10","5.09","13.48","4.33e-36","7.58e-35"
"ENSG00000100097","LGALS1","2.09","9.61","10.88","3.69e-25","1.53e-24"
"ENSG00000100342","APOL1","2.07","6.66","8.91","6.92e-18","1.16e-17"
"ENSG00000100558","PLEK2","2.06","5.67","10.79","8e-25","3.17e-24"
"ENSG00000100985","MMP9","3.78","5.53","14.29","8.8e-40","2.55e-38"
"ENSG00000101057","MYBL2","2.40","5.07","17.54","2.68e-55","5.26e-53"
"ENSG00000101470","TNNC2","-2.83","2.70","-6.76","3.4e-11","2.54e-11"
"ENSG00000103855","CD276","2.21","6.30","16.05","5.02e-48","3.95e-46"
"ENSG00000104879","CKM","-3.21","2.84","-6.60","9.65e-11","6.79e-11"
"ENSG00000105388","CEACAM5","-2.35","3.92","-6.10","2e-09","1.2e-09"
"ENSG00000105928","GSDME","2.03","4.25","11.01","1.12e-25","5.07e-25"
"ENSG00000105929","ATP6V0A4","-2.33","0.94","-17.69","4.55e-56","1.04e-53"
