ens_id,name,log2FC,aveEXP,t,p-value,q-value
"ENSG00000000971","CFH","-2.01","2.61","-9.75","5.89e-17","1.51e-16"
"ENSG00000001626","CFTR","4.21","3.44","13.86","7.68e-27","8.65e-26"
"ENSG00000002726","AOC1","-4.91","2.84","-17.74","1.25e-35","6.39e-34"
"ENSG00000002933","TMEM176A","-4.87","4.47","-18.49","3.16e-37","1.89e-35"
"ENSG00000003436","TFPI","-2.52","3.26","-11.45","4.36e-21","2e-20"
"ENSG00000004776","HSPB6","-2.88","3.20","-11.79","6.75e-22","3.55e-21"
"ENSG00000004799","PDK4","-2.26","4.57","-7.34","2.56e-11","2.95e-11"
"ENSG00000005379","TSPOAP1","-2.10","3.05","-12.28","4.38e-23","2.7e-22"
"ENSG00000005448","WDR54","-2.02","2.87","-12.18","7.87e-23","4.65e-22"
"ENSG00000005884","ITGA3","-2.00","4.89","-10.38","1.73e-18","5.37e-18"
"ENSG00000006611","USH1C","-3.89","2.34","-14.65","1.11e-28","1.73e-27"
"ENSG00000007001","UPP2","-2.28","1.12","-8.51","5.06e-14","8.52e-14"
"ENSG00000007062","PROM1","-3.50","2.74","-12.86","1.85e-24","1.41e-23"
"ENSG00000007216","SLC13A2","-2.82","1.32","-12.94","1.17e-24","9.27e-24"
"ENSG00000008196","TFAP2B","-2.56","1.40","-12.51","1.27e-23","8.44e-23"
"ENSG00000008394","MGST1","-4.41","3.51","-13.50","5.47e-26","5.34e-25"
"ENSG00000008513","ST3GAL1","2.08","4.79","11.22","1.64e-20","6.81e-20"
"ENSG00000008517","IL32","-2.29","5.96","-7.98","8.72e-13","1.22e-12"
"ENSG00000010282","HHATL","2.28","1.66","6.58","1.23e-09","1.12e-09"
"ENSG00000010379","SLC6A13","-4.56","2.61","-19.91","3.43e-40","4.69e-38"
"ENSG00000010932","FMO1","-3.45","2.10","-11.97","2.48e-22","1.37e-21"
"ENSG00000011028","MRC2","-2.24","2.72","-10.73","2.42e-19","8.52e-19"
"ENSG00000011465","DCN","-5.01","4.85","-14.21","1.17e-27","1.51e-26"
"ENSG00000012504","NR1H4","-3.47","2.07","-18.66","1.4e-37","9.35e-36"
"ENSG00000013016","EHD3","-2.19","2.06","-12.56","9.53e-24","6.52e-23"
"ENSG00000014914","MTMR11","-2.62","1.97","-19.25","8.07e-39","7.24e-37"
"ENSG00000015413","DPEP1","-5.22","2.70","-18.63","1.6e-37","1.02e-35"
"ENSG00000016391","CHDH","-2.24","2.47","-11.48","3.74e-21","1.73e-20"
"ENSG00000018236","CNTN1","-2.01","1.05","-13.17","3.33e-25","2.82e-24"
"ENSG00000019144","PHLDB1","-2.15","4.16","-11.10","3.14e-20","1.25e-19"
"ENSG00000019186","CYP24A1","-2.48","1.50","-11.02","4.77e-20","1.85e-19"
"ENSG00000019505","SYT13","2.67","4.05","10.25","3.64e-18","1.08e-17"
"ENSG00000021488","SLC7A9","-2.87","1.34","-12.88","1.62e-24","1.24e-23"
"ENSG00000021645","NRXN3","2.92","2.62","13.57","3.69e-26","3.69e-25"
"ENSG00000022267","FHL1","-2.32","3.82","-10.64","3.96e-19","1.35e-18"
"ENSG00000035720","STAP1","3.11","4.63","8.61","2.99e-14","5.21e-14"
"ENSG00000036828","CASR","-2.68","2.16","-9.46","2.8e-16","6.46e-16"
"ENSG00000041982","TNC","-2.48","3.14","-8.38","1.03e-13","1.63e-13"
"ENSG00000042062","RIPOR3","-2.08","2.97","-8.93","5.25e-15","1.01e-14"
"ENSG00000046604","DSG2","2.68","5.22","10.94","7.51e-20","2.85e-19"
"ENSG00000047457","CP","-2.20","1.32","-12.49","1.38e-23","9.15e-23"
"ENSG00000049089","COL9A2","-2.83","2.18","-13.27","1.92e-25","1.68e-24"
"ENSG00000050555","LAMC3","-2.30","2.39","-10.98","5.97e-20","2.3e-19"
"ENSG00000051523","CYBA","-2.02","5.67","-8.72","1.63e-14","2.96e-14"
"ENSG00000054598","FOXC1","-2.74","2.37","-14.80","5.03e-29","8.2e-28"
"ENSG00000056736","IL17RB","-3.52","2.64","-15.60","7.08e-31","1.46e-29"
