ens_id,name,log2FC,aveEXP,t,p-value,q-value
"ENSG00000004939","SLC4A1","-4.93","1.46","-30.57","9.86e-127","3.38e-125"
"ENSG00000005001","PRSS22","-2.47","0.67","-29.56","2.74e-121","8.13e-120"
"ENSG00000006747","SCIN","-2.48","3.92","-13.48","1.31e-36","2.13e-36"
"ENSG00000007001","UPP2","-2.12","0.86","-19.54","6.79e-67","3.49e-66"
"ENSG00000007062","PROM1","-2.07","3.37","-8.35","4.27e-16","2.61e-16"
"ENSG00000007216","SLC13A2","-3.15","0.88","-27.66","5.46e-111","1.17e-109"
"ENSG00000008196","TFAP2B","-2.90","0.62","-41.22","2.05e-181","5.34e-179"
"ENSG00000008517","IL32","2.21","8.99","16.39","1.35e-50","3.78e-50"
"ENSG00000011347","SYT7","-2.34","0.90","-26.51","1.01e-104","1.69e-103"
"ENSG00000011465","DCN","-3.45","5.03","-14.65","4.63e-42","9.42e-42"
"ENSG00000011600","TYROBP","2.86","7.25","24.86","9.78e-96","1.3e-94"
"ENSG00000013588","GPRC5A","-2.07","1.92","-13.71","1.25e-37","2.13e-37"
"ENSG00000014257","ACP3","-3.30","1.13","-40.84","1.56e-179","3.4e-177"
"ENSG00000015413","DPEP1","-3.73","2.68","-18.93","1.12e-63","5.02e-63"
"ENSG00000018236","CNTN1","-2.19","0.92","-23.68","3.01e-89","3.2e-88"
"ENSG00000023445","BIRC3","2.06","4.85","15.46","5.5e-46","1.31e-45"
"ENSG00000024422","EHD2","2.39","6.24","20.94","2.24e-74","1.56e-73"
"ENSG00000025708","TYMP","2.31","5.63","18.68","2.42e-62","1.05e-61"
"ENSG00000026025","VIM","2.81","10.71","24.63","1.86e-94","2.38e-93"
"ENSG00000026297","RNASET2","3.06","7.64","20.25","1.15e-70","6.74e-70"
"ENSG00000034510","TMSB10","2.15","11.49","22.53","5.34e-83","4.92e-82"
"ENSG00000035720","STAP1","-2.34","1.05","-17.81","7.64e-58","2.82e-57"
"ENSG00000036828","CASR","-3.67","1.09","-34.89","1.43e-149","1.03e-147"
"ENSG00000038427","VCAN","2.22","5.21","12.61","1.09e-32","1.5e-32"
"ENSG00000043039","BARX2","2.37","4.30","17.08","4.33e-54","1.38e-53"
"ENSG00000043462","LCP2","2.01","4.37","20.20","2.06e-70","1.19e-69"
"ENSG00000044446","PHKA2","2.12","5.22","20.99","1.25e-74","8.76e-74"
"ENSG00000047457","CP","3.83","6.15","15.06","4.81e-44","1.06e-43"
"ENSG00000049283","EPN3","-2.97","0.90","-31.78","3.05e-133","1.24e-131"
"ENSG00000050628","PTGER3","-2.31","4.04","-11.67","1.23e-28","1.41e-28"
"ENSG00000050767","COL23A1","4.68","5.36","26.59","3.82e-105","6.56e-104"
"ENSG00000060566","CREB3L3","2.00","2.47","12.35","1.57e-31","2.03e-31"
"ENSG00000061656","SPAG4","3.71","5.45","36.23","1.71e-156","1.54e-154"
"ENSG00000062038","CDH3","-2.30","1.37","-19.59","3.96e-67","2.06e-66"
"ENSG00000066230","SLC9A3","-3.70","2.02","-21.04","6.6e-75","4.67e-74"
"ENSG00000066336","SPI1","2.10","4.42","20.68","5.59e-73","3.56e-72"
"ENSG00000066382","MPPED2","-2.01","1.77","-20.77","1.84e-73","1.22e-72"
"ENSG00000067057","PFKP","2.20","7.42","19.26","2.21e-65","1.06e-64"
