ens_id,name,log2FC,aveEXP,t,p-value,q-value
"ENSG00000004776","HSPB6","-2.57","2.71","-13.19","1.49e-32","8.42e-32"
"ENSG00000004838","ZMYND10","2.06","3.82","9.47","4.21e-19","8.51e-19"
"ENSG00000004939","SLC4A1","-4.96","1.06","-39.18","2.7e-130","2.92e-127"
"ENSG00000005001","PRSS22","-2.44","1.20","-14.46","1.65e-37","1.27e-36"
"ENSG00000006327","TNFRSF12A","2.50","7.93","16.07","5.8e-44","6.15e-43"
"ENSG00000007216","SLC13A2","-2.33","1.77","-10.38","3.36e-22","8.88e-22"
"ENSG00000008196","TFAP2B","-2.78","0.57","-31.22","2.22e-103","5.54e-101"
"ENSG00000008517","IL32","2.06","9.16","10.10","3.06e-21","7.5e-21"
"ENSG00000010319","SEMA3G","-2.76","1.76","-24.20","7.88e-77","4.41e-75"
"ENSG00000011347","SYT7","-2.27","0.70","-19.90","1.46e-59","3.48e-58"
"ENSG00000011465","DCN","-3.50","4.61","-12.62","2.29e-30","1.11e-29"
"ENSG00000011600","TYROBP","2.35","6.68","11.94","7.8e-28","3.18e-27"
"ENSG00000012779","ALOX5","2.43","4.52","13.55","6.29e-34","3.89e-33"
"ENSG00000014257","ACP3","-2.99","1.03","-25.35","2.4e-81","1.66e-79"
"ENSG00000015413","DPEP1","-2.48","4.34","-7.49","5.51e-13","6.31e-13"
"ENSG00000022267","FHL1","2.74","7.25","8.36","1.53e-15","2.23e-15"
"ENSG00000026297","RNASET2","2.26","6.76","13.80","6.25e-35","4.08e-34"
"ENSG00000034510","TMSB10","2.48","11.57","17.76","7.99e-51","1.28e-49"
"ENSG00000035720","STAP1","-2.13","0.73","-19.25","6.81e-57","1.45e-55"
"ENSG00000036828","CASR","-3.02","1.23","-19.39","1.74e-57","3.77e-56"
"ENSG00000037280","FLT4","-2.00","1.77","-16.69","1.82e-46","2.24e-45"
"ENSG00000038427","VCAN","3.08","5.33","10.98","2.68e-24","8.44e-24"
"ENSG00000049283","EPN3","-2.20","1.50","-12.89","2.07e-31","1.08e-30"
"ENSG00000050628","PTGER3","-5.02","1.36","-27.19","1.95e-88","1.81e-86"
"ENSG00000050767","COL23A1","2.12","3.33","10.49","1.4e-22","3.82e-22"
"ENSG00000053747","LAMA3","2.38","3.88","10.73","1.99e-23","5.87e-23"
"ENSG00000053918","KCNQ1","-2.58","2.63","-15.96","1.58e-43","1.65e-42"
"ENSG00000062038","CDH3","-2.39","1.32","-13.33","4.37e-33","2.56e-32"
"ENSG00000065054","NHERF2","-2.01","5.21","-16.81","5.81e-47","7.42e-46"
"ENSG00000066056","TIE1","-2.05","2.30","-16.82","5.19e-47","6.66e-46"
"ENSG00000066230","SLC9A3","-3.91","1.63","-21.79","3.26e-67","1.08e-65"
"ENSG00000066382","MPPED2","-2.35","1.04","-22.22","6.16e-69","2.33e-67"
"ENSG00000069122","ADGRF5","-3.05","2.48","-20.02","4.84e-60","1.18e-58"
"ENSG00000070915","SLC12A3","-5.11","1.19","-27.59","6.04e-90","6.53e-88"
"ENSG00000074803","SLC12A1","-6.28","1.89","-26.98","1.18e-87","1.06e-85"
"ENSG00000077420","APBB1IP","2.57","4.07","14.11","3.85e-36","2.72e-35"
"ENSG00000079385","CEACAM1","-2.47","2.24","-18.91","1.67e-55","3.35e-54"
"ENSG00000079557","AFM","-2.55","0.54","-20.19","9.64e-61","2.41e-59"
"ENSG00000080293","SCTR","-2.19","1.18","-16.88","3e-47","3.89e-46"
"ENSG00000081181","ARG2","-3.04","2.96","-13.87","3.57e-35","2.37e-34"
"ENSG00000085276","MECOM","-3.09","2.21","-15.71","1.68e-42","1.67e-41"
"ENSG00000086159","AQP6","-4.36","1.05","-30.89","3.37e-102","6.83e-100"
"ENSG00000088926","F11","-2.94","0.88","-23.40","1.1e-73","5.04e-72"
"ENSG00000089356","FXYD3","-2.25","1.22","-9.76","4.38e-20","9.71e-20"
"ENSG00000090104","RGS1","2.30","5.01","11.09","1.06e-24","3.44e-24"
"ENSG00000090382","LYZ","2.33","5.29","8.68","1.55e-16","2.47e-16"
"ENSG00000091490","SEL1L3","2.25","5.41","14.94","2.06e-39","1.79e-38"
"ENSG00000092068","SLC7A8","-2.75","3.28","-12.08","2.45e-28","1.04e-27"
"ENSG00000095970","TREM2","3.65","4.04","19.57","3.39e-58","7.63e-57"
"ENSG00000099953","MMP11","2.09","3.58","12.68","1.32e-30","6.49e-30"
"ENSG00000099994","SUSD2","-2.17","2.17","-12.71","9.99e-31","4.98e-30"
"ENSG00000100024","UPB1","-2.72","1.25","-17.25","9.29e-49","1.32e-47"
"ENSG00000100234","TIMP3","-2.96","4.77","-15.65","3e-42","2.94e-41"
"ENSG00000100362","PVALB","-4.13","1.82","-16.07","5.94e-44","6.25e-43"
"ENSG00000101210","EEF1A2","2.37","3.42","7.36","1.35e-12","1.5e-12"
"ENSG00000101276","SLC52A3","-2.05","1.42","-12.51","5.89e-30","2.77e-29"
"ENSG00000102678","FGF9","-2.40","1.05","-18.92","1.52e-55","3.07e-54"
"ENSG00000104327","CALB1","-5.34","1.24","-30.14","1.8e-99","3.07e-97"
"ENSG00000104332","SFRP1","-4.85","1.77","-26.97","1.37e-87","1.2e-85"
"ENSG00000104368","PLAT","-2.79","3.32","-17.01","8.97e-48","1.2e-46"
"ENSG00000104537","ANXA13","2.25","3.52","8.21","4.12e-15","5.76e-15"
"ENSG00000104833","TUBB4A","2.50","3.55","11.73","4.68e-27","1.8e-26"
"ENSG00000105327","BBC3","2.08","3.79","21.38","1.47e-65","4.55e-64"
"ENSG00000105697","HAMP","2.81","2.69","16.38","3.33e-45","3.81e-44"
"ENSG00000105825","TFPI2","3.68","6.25","10.57","7.11e-23","2.01e-22"
"ENSG00000105855","ITGB8","2.03","5.44","9.35","1.03e-18","2e-18"
"ENSG00000105929","ATP6V0A4","-4.13","2.00","-19.47","8.18e-58","1.82e-56"
"ENSG00000105976","MET","2.71","5.91","16.06","6.53e-44","6.86e-43"
"ENSG00000106258","CYP3A5","2.13","4.53","9.22","2.74e-18","5.16e-18"
"ENSG00000107159","CA9","2.07","2.07","7.59","2.92e-13","3.44e-13"
"ENSG00000107165","TYRP1","-2.23","0.56","-19.01","6.57e-56","1.36e-54"
"ENSG00000107317","PTGDS","-3.76","4.01","-11.23","3.29e-25","1.11e-24"
"ENSG00000107485","GATA3","-3.36","1.63","-16.47","1.43e-45","1.68e-44"
