ens_id,name,log2FC,aveEXP,t,p-value,q-value
"ENSG00000000938","FGR","5.28","4.22","22.73","3.19e-62","9.8e-63"
"ENSG00000000971","CFH","-3.96","3.24","-20.46","6.61e-55","1.67e-55"
"ENSG00000001561","ENPP4","2.38","1.72","20.87","3.11e-56","8.17e-57"
"ENSG00000001630","CYP51A1","-2.87","4.87","-32.51","9.38e-91","6.74e-91"
"ENSG00000002586","CD99","2.31","7.38","20.76","7.07e-56","1.83e-56"
"ENSG00000003249","DBNDD1","-2.76","1.49","-37.15","1.5e-102","1.53e-102"
"ENSG00000003436","TFPI","-2.51","4.74","-13.10","4.6e-30","6.09e-31"
"ENSG00000004139","SARM1","2.64","2.19","21.78","3.5e-59","9.92e-60"
"ENSG00000004399","PLXND1","3.18","6.72","32.58","6.02e-91","4.36e-91"
"ENSG00000004468","CD38","5.59","4.07","39.78","9.05e-109","1.13e-108"
"ENSG00000004779","NDUFAB1","-2.14","6.20","-44.17","1.53e-118","2.44e-118"
"ENSG00000004809","SLC22A16","4.27","3.05","41.07","1e-111","1.32e-111"
"ENSG00000004961","HCCS","-2.27","4.19","-40.60","1.15e-110","1.49e-110"
"ENSG00000005187","ACSM3","-3.49","5.87","-18.15","3.41e-47","7.06e-48"
"ENSG00000005249","PRKAR2B","-2.81","4.51","-16.72","2.39e-42","4.33e-43"
"ENSG00000005339","CREBBP","2.58","5.31","36.76","1.32e-101","1.31e-101"
"ENSG00000005379","TSPOAP1","4.19","4.98","26.04","1.8e-72","7.48e-73"
"ENSG00000005381","MPO","8.05","7.05","22.71","3.53e-62","1.08e-62"
"ENSG00000005810","MYCBP2","2.59","5.42","39.43","5.86e-108","7.12e-108"
"ENSG00000005844","ITGAL","6.64","5.16","44.76","8.45e-120","1.41e-119"
"ENSG00000005882","PDK2","3.39","3.63","34.47","7.26e-96","5.99e-96"
"ENSG00000006042","TMEM98","-5.55","2.25","-49.87","3.79e-130","7.86e-130"
"ENSG00000006282","SPATA20","2.30","3.98","20.71","1.03e-55","2.65e-56"
"ENSG00000006327","TNFRSF12A","-3.96","2.33","-44.81","6.71e-120","1.12e-119"
"ENSG00000006453","BAIAP2L1","-2.44","2.28","-33.57","1.54e-93","1.19e-93"
"ENSG00000006468","ETV1","-3.72","1.25","-112.39","1.66e-212","1.76e-211"
"ENSG00000006534","ALDH3B1","4.29","3.85","33.67","8.4e-94","6.56e-94"
"ENSG00000006606","CCL26","-2.94","0.91","-120.19","1.68e-219","2.09e-218"
"ENSG00000006634","DBF4","-2.10","4.66","-33.68","7.96e-94","6.22e-94"
"ENSG00000006704","GTF2IRD1","-2.64","1.81","-27.70","2.24e-77","1.07e-77"
"ENSG00000006747","SCIN","-4.18","1.40","-79.30","1.81e-176","1.04e-175"
"ENSG00000006756","ARSD","4.23","3.29","36.12","5.02e-100","4.73e-100"
"ENSG00000007038","PRSS21","-3.25","3.73","-9.73","4.02e-19","4.06e-20"
"ENSG00000007062","PROM1","4.20","3.02","12.95","1.49e-29","1.95e-30"
"ENSG00000007129","CEACAM21","2.71","2.17","22.10","3.25e-60","9.46e-61"
"ENSG00000007237","GAS7","4.55","3.52","29.43","2.53e-82","1.4e-82"
"ENSG00000007312","CD79B","3.91","3.30","31.36","1.17e-87","7.57e-88"
"ENSG00000007372","PAX6","-2.45","1.55","-64.68","8.29e-156","3.15e-155"
"ENSG00000007866","TEAD3","-2.97","1.35","-52.28","9.71e-135","2.23e-134"
"ENSG00000008018","PSMB1","-2.32","7.44","-50.33","4.87e-131","1.04e-130"
"ENSG00000008513","ST3GAL1","2.56","4.68","31.85","5.5e-89","3.72e-89"
"ENSG00000008516","MMP25","2.27","1.93","16.32","5.18e-41","9.07e-42"
"ENSG00000008517","IL32","3.35","3.51","22.62","6.9e-62","2.1e-62"
"ENSG00000008853","RHOBTB2","2.43","2.72","24.88","6.09e-69","2.26e-69"
"ENSG00000008869","HEATR5B","2.40","4.71","29.06","2.8e-81","1.51e-81"
"ENSG00000009790","TRAF3IP3","5.62","4.71","74.66","2.56e-170","1.29e-169"
"ENSG00000009950","MLXIPL","-2.59","1.06","-34.14","5.02e-95","4.04e-95"
"ENSG00000010278","CD9","3.04","3.42","14.90","3.54e-36","5.48e-37"
"ENSG00000010295","IFFO1","4.34","3.25","50.27","6.28e-131","1.33e-130"
"ENSG00000010310","GIPR","-3.60","1.98","-35.95","1.35e-99","1.25e-99"
"ENSG00000010327","STAB1","4.17","4.69","14.33","3.2e-34","4.68e-35"
"ENSG00000010610","CD4","4.70","3.87","25.38","1.74e-70","6.78e-71"
"ENSG00000010810","FYN","2.31","4.98","19.71","1.95e-52","4.61e-53"
"ENSG00000011052","NME1-NME2","-2.81","3.65","-21.45","3.86e-58","1.07e-58"
"ENSG00000011600","TYROBP","3.94","7.15","23.56","7.46e-65","2.46e-65"
"ENSG00000012817","KDM5D","3.17","2.34","8.58","1.14e-15","1.06e-16"
"ENSG00000013016","EHD3","2.45","1.80","18.83","1.75e-49","3.81e-50"
"ENSG00000013364","MVP","3.82","4.45","34.45","8.11e-96","6.69e-96"
"ENSG00000013375","PGM3","-2.48","3.98","-26.30","3.1e-73","1.31e-73"
"ENSG00000013441","CLK1","2.26","6.62","36.55","4.53e-101","4.44e-101"
"ENSG00000013725","CD6","2.86","2.06","20.99","1.24e-56","3.29e-57"
"ENSG00000014257","ACP3","2.80","2.41","18.23","1.79e-47","3.73e-48"
"ENSG00000015133","CCDC88C","3.04","4.93","42.31","1.72e-114","2.45e-114"
"ENSG00000015285","WAS","2.83","5.81","34.73","1.6e-96","1.35e-96"
"ENSG00000015568","RGPD5","2.67","3.10","21.88","1.67e-59","4.77e-60"
"ENSG00000017427","IGF1","-3.22","1.32","-55.98","1.96e-141","5.23e-141"
"ENSG00000018280","SLC11A1","2.44","3.52","8.94","9.71e-17","9.24e-18"
"ENSG00000019144","PHLDB1","-2.25","2.17","-18.69","5.19e-49","1.12e-49"
"ENSG00000019485","PRDM11","2.75","2.23","31.23","2.65e-87","1.7e-87"
"ENSG00000019582","CD74","8.39","8.13","42.80","1.43e-115","2.1e-115"
"ENSG00000019991","HGF","5.01","3.58","19.72","1.83e-52","4.32e-53"
"ENSG00000019995","ZRANB1","2.84","2.72","49.30","4.84e-129","9.76e-129"
"ENSG00000020181","ADGRA2","2.65","2.17","14.20","8.51e-34","1.24e-34"
"ENSG00000020577","SAMD4A","-2.12","1.40","-25.26","4.26e-70","1.64e-70"
"ENSG00000020633","RUNX3","4.39","3.31","28.26","5.34e-79","2.68e-79"
"ENSG00000021762","OSBPL5","3.06","4.74","27.99","3.29e-78","1.61e-78"
"ENSG00000021826","CPS1","-2.03","0.96","-26.52","6.67e-74","2.88e-74"
"ENSG00000022267","FHL1","2.48","3.07","13.58","1.11e-31","1.53e-32"
"ENSG00000022556","NLRP2","-2.20","2.87","-10.57","9.23e-22","9.95e-23"
"ENSG00000023171","GRAMD1B","2.87","2.09","19.64","3.55e-52","8.31e-53"
"ENSG00000023445","BIRC3","2.72","2.47","26.10","1.23e-72","5.12e-73"
"ENSG00000023902","PLEKHO1","2.56","5.24","26.59","4.19e-74","1.82e-74"
"ENSG00000023909","GCLM","-2.97","3.89","-27.73","1.85e-77","8.85e-78"
"ENSG00000024422","EHD2","-2.70","3.06","-13.14","3.27e-30","4.35e-31"
"ENSG00000025039","RRAGD","3.26","2.86","30.88","2.29e-86","1.43e-86"
"ENSG00000025708","TYMP","3.94","3.71","20.22","4.14e-54","1.03e-54"
"ENSG00000026103","FAS","3.28","3.20","39.71","1.28e-108","1.58e-108"
"ENSG00000026508","CD44","4.14","7.49","38.35","2.02e-105","2.28e-105"
"ENSG00000026751","SLAMF7","2.55","2.15","17.71","9.89e-46","1.96e-46"
"ENSG00000027075","PRKCH","2.12","3.49","14.54","6.32e-35","9.45e-36"
"ENSG00000027869","SH2D2A","-2.67","2.88","-23.48","1.3e-64","4.27e-65"
"ENSG00000028277","POU2F2","4.72","3.76","28.94","6.27e-81","3.35e-81"
"ENSG00000028839","TBPL1","-2.40","5.19","-38.53","7.27e-106","8.31e-106"
"ENSG00000029534","ANK1","-2.51","3.37","-11.87","5.99e-26","7.14e-27"
"ENSG00000029993","HMGB3","-2.04","4.84","-19.41","2.05e-51","4.7e-52"
"ENSG00000030419","IKZF2","2.38","2.01","11.34","3.03e-24","3.46e-25"
"ENSG00000034053","APBA2","-2.51","2.53","-18.87","1.31e-49","2.86e-50"
"ENSG00000034152","MAP2K3","2.69","5.03","39.08","3.72e-107","4.42e-107"
"ENSG00000035115","SH3YL1","2.00","3.86","25.24","4.91e-70","1.88e-70"
"ENSG00000035862","TIMP2","5.44","4.46","54.86","1.88e-139","4.77e-139"
"ENSG00000037042","TUBG2","2.05","2.10","18.94","7.26e-50","1.6e-50"
"ENSG00000038382","TRIO","4.28","4.57","38.14","6.43e-105","7.12e-105"
"ENSG00000038427","VCAN","4.88","3.80","14.40","1.78e-34","2.63e-35"
"ENSG00000039560","RAI14","-3.97","1.84","-47.93","2.54e-126","4.85e-126"
"ENSG00000041515","MYO16","-2.04","0.77","-28.67","3.5e-80","1.83e-80"
"ENSG00000042980","ADAM28","5.10","3.70","30.59","1.51e-85","9.12e-86"
"ENSG00000043355","ZIC2","-2.44","0.71","-121.00","3.34e-220","4.29e-219"
"ENSG00000043514","TRIT1","-2.22","4.45","-43.71","1.5e-117","2.31e-117"
"ENSG00000044459","CNTLN","2.91","2.10","36.10","5.76e-100","5.41e-100"
"ENSG00000044574","HSPA5","-2.06","7.63","-24.47","1.1e-67","3.93e-68"
"ENSG00000046604","DSG2","-4.39","2.08","-27.81","1.06e-77","5.13e-78"
"ENSG00000046774","MAGEC2","-6.21","1.79","-635.79","0","0"
"ENSG00000047346","ATOSA","2.09","4.43","28.26","5.44e-79","2.74e-79"
"ENSG00000047365","ARAP2","3.65","2.74","27.89","6.38e-78","3.1e-78"
"ENSG00000047457","CP","2.32","1.87","19.48","1.14e-51","2.63e-52"
"ENSG00000047644","WWC3","2.16","2.25","19.17","1.3e-50","2.91e-51"
"ENSG00000047648","ARHGAP6","-4.54","2.14","-40.40","3.27e-110","4.17e-110"
"ENSG00000048052","HDAC9","3.68","3.04","20.35","1.5e-54","3.76e-55"
"ENSG00000048740","CELF2","3.21","5.50","42.37","1.23e-114","1.76e-114"
"ENSG00000049449","RCN1","2.16","4.72","28.49","1.21e-79","6.22e-80"
"ENSG00000049759","NEDD4L","-2.14","2.69","-14.97","2.06e-36","3.22e-37"
"ENSG00000050438","SLC4A8","2.12","1.63","24.95","3.69e-69","1.38e-69"
"ENSG00000050628","PTGER3","-2.69","1.46","-20.73","8.57e-56","2.22e-56"
"ENSG00000050767","COL23A1","2.02","1.65","9.80","2.37e-19","2.41e-20"
"ENSG00000050820","BCAR1","-3.42","1.36","-66.29","2.78e-158","1.12e-157"
"ENSG00000051128","HOMER3","2.60","4.51","13.46","2.73e-31","3.73e-32"
"ENSG00000051180","RAD51","-2.08","4.13","-23.85","8.99e-66","3.05e-66"
"ENSG00000052344","PRSS8","-2.53","1.26","-72.60","1.81e-167","8.61e-167"
"ENSG00000052802","MSMO1","-3.47","4.45","-43.70","1.57e-117","2.42e-117"
"ENSG00000053254","FOXN3","4.47","4.24","61.35","1.6e-150","5.28e-150"
"ENSG00000053918","KCNQ1","2.44","1.82","16.32","5.48e-41","9.58e-42"
"ENSG00000054219","LY75","4.70","3.38","55.78","4.33e-141","1.14e-140"
"ENSG00000054392","HHAT","2.03","1.55","24.86","7.14e-69","2.64e-69"
"ENSG00000054654","SYNE2","2.09","2.01","15.59","1.57e-38","2.58e-39"
"ENSG00000055118","KCNH2","-4.78","3.95","-22.15","2.16e-60","6.33e-61"
"ENSG00000055163","CYFIP2","3.69","4.55","29.22","9.56e-82","5.2e-82"
"ENSG00000055955","ITIH4","3.20","2.58","39.07","3.96e-107","4.7e-107"
"ENSG00000058866","DGKG","3.99","3.12","40.39","3.4e-110","4.32e-110"
"ENSG00000059377","TBXAS1","4.03","5.12","34.77","1.29e-96","1.1e-96"
"ENSG00000060558","GNA15","5.40","4.41","45.67","1.07e-121","1.84e-121"
"ENSG00000060982","BCAT1","-2.63","4.44","-13.50","2.08e-31","2.84e-32"
"ENSG00000061656","SPAG4","-2.44","2.49","-27.31","3.04e-76","1.4e-76"
"ENSG00000061676","NCKAP1","-5.62","2.36","-55.93","2.39e-141","6.37e-141"
"ENSG00000061918","GUCY1B1","3.01","2.19","17.71","9.74e-46","1.93e-46"
"ENSG00000061938","TNK2","2.19","5.27","23.21","9.47e-64","3.04e-64"
"ENSG00000062582","MRPS24","-2.07","5.72","-39.78","9e-109","1.12e-108"
