ens_id,name,log2FC,aveEXP,t,p-value,q-value
"ENSG00000000003","TSPAN6","2.39","4.48","43.47","3.34e-205","2.65e-204"
"ENSG00000002586","CD99","2.44","7.69","24.02","1.57e-94","3.64e-95"
"ENSG00000004468","CD38","2.14","3.16","23.43","4.19e-91","9.12e-92"
"ENSG00000005513","SOX8","3.13","7.13","30.94","3.67e-135","2.05e-135"
"ENSG00000006116","CACNG3","-2.66","2.45","-21.99","1.01e-82","1.92e-83"
"ENSG00000006128","TAC1","-2.47","2.94","-16.43","7.08e-52","8.41e-53"
"ENSG00000006327","TNFRSF12A","2.09","2.97","17.07","2.86e-55","3.57e-56"
"ENSG00000006468","ETV1","3.39","5.46","34.45","1.72e-155","1.76e-155"
"ENSG00000006611","USH1C","2.52","3.80","18.74","2.51e-64","3.59e-65"
"ENSG00000007264","MATK","-2.24","3.23","-24.33","2.46e-96","5.92e-97"
"ENSG00000008118","CAMK1G","-2.94","2.69","-23.85","1.52e-93","3.46e-94"
"ENSG00000008441","NFIX","2.29","6.97","36.42","1.1e-166","1.69e-166"
"ENSG00000010278","CD9","2.35","7.12","32.61","6.47e-145","4.78e-145"
"ENSG00000010438","PRSS3","-2.03","2.79","-19.39","5.99e-68","9.02e-69"
"ENSG00000010610","CD4","2.13","3.75","30.78","2.96e-134","1.61e-134"
"ENSG00000011052","NME1-NME2","2.29","5.26","36.49","4.44e-167","7.03e-167"
"ENSG00000011201","ANOS1","2.19","3.69","27.31","7.16e-114","2.4e-114"
"ENSG00000011600","TYROBP","3.00","6.08","32.56","1.25e-144","9.16e-145"
"ENSG00000017483","SLC38A5","2.25","5.29","33.44","1.11e-149","9.41e-150"
"ENSG00000019582","CD74","2.93","8.44","25.03","1.99e-100","5.17e-101"
"ENSG00000020129","NCDN","-2.57","6.49","-24.58","7.94e-98","1.96e-98"
"ENSG00000023697","DERA","2.05","4.39","48.96","1.9e-233","6.7e-232"
"ENSG00000026508","CD44","3.57","4.83","29.58","3.14e-127","1.42e-127"
"ENSG00000030582","GRN","2.07","6.06","37.89","6.29e-175","1.35e-174"
"ENSG00000031081","ARHGAP31","2.31","3.57","39.86","8.39e-186","2.8e-185"
"ENSG00000033122","LRRC7","-2.22","2.52","-26.62","7.86e-110","2.43e-110"
"ENSG00000036530","CYP46A1","-2.01","4.82","-24.47","3.57e-97","8.73e-98"
"ENSG00000038427","VCAN","3.52","5.48","44.93","7.09e-213","8.34e-212"
"ENSG00000038945","MSR1","2.03","2.12","21.17","5.49e-78","9.68e-79"
"ENSG00000041982","TNC","4.04","4.10","37.24","2.64e-171","4.95e-171"
"ENSG00000050405","LIMA1","2.44","4.85","35.50","1.74e-161","2.19e-161"
"ENSG00000053438","NNAT","-3.53","4.87","-20.98","6.48e-77","1.12e-77"
"ENSG00000058404","CAMK2B","-2.26","5.07","-19.50","1.42e-68","2.17e-69"
"ENSG00000059377","TBXAS1","2.32","3.38","32.02","1.9e-141","1.26e-141"
"ENSG00000059915","PSD","-2.49","6.15","-23.66","2.08e-92","4.64e-93"
"ENSG00000063180","CA11","-2.12","6.48","-24.21","1.28e-95","3.02e-96"
"ENSG00000064886","CHI3L2","2.50","3.30","16.04","7.75e-50","8.92e-51"
"ENSG00000064989","CALCRL","3.56","3.93","38.20","1.19e-176","2.74e-176"
"ENSG00000065320","NTN1","2.88","3.70","42.98","1.27e-202","8.11e-202"
"ENSG00000065600","PACC1","2.05","4.18","34.80","1.67e-157","1.84e-157"
"ENSG00000065911","MTHFD2","3.90","4.83","41.31","1.04e-193","4.67e-193"
"ENSG00000065978","YBX1","2.31","7.95","41.66","1.5e-195","7.23e-195"
"ENSG00000066248","NGEF","-2.50","4.52","-18.72","3.14e-64","4.47e-65"
"ENSG00000066336","SPI1","2.14","3.93","25.48","4.18e-103","1.14e-103"
"ENSG00000069424","KCNAB2","-2.08","4.89","-20.17","2.52e-72","4.06e-73"
"ENSG00000070756","PABPC1","2.55","8.43","42.21","1.59e-198","8.64e-198"
"ENSG00000070808","CAMK2A","-3.27","4.72","-18.56","2.33e-63","3.28e-64"
"ENSG00000071564","TCF3","2.05","5.06","41.52","7.75e-195","3.64e-194"
"ENSG00000072182","ASIC4","2.66","4.40","22.34","1.02e-84","2e-85"
"ENSG00000074211","PPP2R2C","-2.07","4.77","-17.52","1.09e-57","1.4e-58"
"ENSG00000076864","RAP1GAP","-2.23","5.33","-23.94","4.95e-94","1.14e-94"
"ENSG00000077279","DCX","2.21","2.72","23.22","7.02e-90","1.5e-90"
"ENSG00000077420","APBB1IP","2.05","3.03","24.06","9.32e-95","2.18e-95"
"ENSG00000078328","RBFOX1","-2.66","3.18","-20.37","1.86e-73","3.05e-74"
"ENSG00000078549","ADCYAP1R1","2.21","6.52","24.69","1.82e-98","4.55e-99"
"ENSG00000080709","KCNN2","2.17","3.72","28.69","5.25e-122","2.11e-122"
"ENSG00000082153","BZW1","2.12","5.81","36.14","4.45e-165","6.48e-165"
"ENSG00000085117","CD82","2.41","5.56","38.37","1.29e-177","3.08e-177"
"ENSG00000087245","MMP2","3.02","3.57","38.14","2.47e-176","5.65e-176"
"ENSG00000088882","CPXM1","4.08","3.42","40.62","6.16e-190","2.49e-189"
"ENSG00000089157","RPLP0","2.58","9.96","44.02","4.05e-208","3.74e-207"
"ENSG00000090104","RGS1","2.28","4.42","15.44","8.33e-47","9.19e-48"
"ENSG00000090932","DLL3","4.09","5.43","31.72","9.78e-140","6.13e-140"
"ENSG00000091622","PITPNM3","-2.08","2.71","-21.64","1.04e-80","1.91e-81"
"ENSG00000091986","CCDC80","3.79","4.91","43.38","9.11e-205","6.97e-204"
"ENSG00000095970","TREM2","3.61","4.66","35.45","3.33e-161","4.14e-161"
"ENSG00000100095","SEZ6L","2.26","5.11","19.68","1.42e-69","2.19e-70"
"ENSG00000100105","PATZ1","2.02","4.72","49.64","8.77e-237","3.74e-235"
