ens_id,name,log2FC,aveEXP,t,p-value,q-value
"ENSG00000011465","DCN","-2.61","4.79","-13.64","1.53e-36","1.48e-36"
"ENSG00000019169","MARCO","-2.95","1.98","-20.31","2.53e-68","1.18e-67"
"ENSG00000034510","TMSB10","2.01","9.22","16.21","2.41e-48","4e-48"
"ENSG00000042062","RIPOR3","-2.32","1.30","-27.35","1.48e-103","9.19e-102"
"ENSG00000042493","CAPG","2.29","4.04","16.11","7.32e-48","1.19e-47"
"ENSG00000068366","ACSL4","2.66","3.97","14.68","3.26e-41","3.9e-41"
"ENSG00000073111","MCM2","2.02","2.44","18.77","1.09e-60","3.41e-60"
"ENSG00000074276","CDHR2","-2.04","2.67","-12.99","9.88e-34","8.35e-34"
"ENSG00000077152","UBE2T","2.40","2.65","24.37","1.06e-88","2.24e-87"
"ENSG00000081041","CXCL2","-2.80","5.03","-18.98","9.95e-62","3.29e-61"
"ENSG00000081051","AFP","2.27","3.94","8.73","3.26e-17","1.34e-17"
"ENSG00000089685","BIRC5","2.17","2.27","19.36","1.21e-63","4.39e-63"
"ENSG00000090382","LYZ","2.93","5.59","13.99","4.22e-38","4.44e-38"
"ENSG00000099769","IGFALS","-2.82","3.27","-17.43","3.53e-54","7.84e-54"
"ENSG00000099953","MMP11","2.23","2.15","17.02","3.33e-52","6.72e-52"
"ENSG00000100162","CENPM","2.18","2.15","20.07","3.89e-67","1.73e-66"
"ENSG00000100526","CDKN3","2.70","2.70","23.68","3.31e-85","5.25e-84"
"ENSG00000101057","MYBL2","2.13","1.93","16.70","1.2e-50","2.26e-50"
"ENSG00000101204","CHRNA4","-2.40","1.92","-15.46","8.57e-45","1.2e-44"
"ENSG00000101210","EEF1A2","2.23","2.77","9.30","3.5e-19","1.56e-19"
"ENSG00000101412","E2F1","2.16","2.14","19.92","2.19e-66","9.23e-66"
"ENSG00000101981","F9","-2.08","5.61","-11.40","4.34e-27","2.77e-27"
"ENSG00000104889","RNASEH2A","2.15","3.49","25.45","4.41e-94","1.51e-92"
"ENSG00000104938","CLEC4M","-4.02","1.47","-46.09","5.23e-188","1.07e-184"
"ENSG00000105697","HAMP","-5.54","5.26","-23.19","8.9e-83","1.15e-81"
"ENSG00000106268","NUDT1","2.12","3.43","25.87","3.55e-96","1.54e-94"
"ENSG00000106605","BLVRA","2.06","3.56","19.16","1.3e-62","4.45e-62"
"ENSG00000107562","CXCL12","-2.24","4.26","-16.14","5.47e-48","8.97e-48"
"ENSG00000108106","UBE2S","2.10","3.78","22.70","2.71e-80","2.87e-79"
"ENSG00000108602","ALDH3A1","2.08","2.29","8.65","5.98e-17","2.42e-17"
"ENSG00000109758","HGFAC","-3.40","4.63","-16.04","1.56e-47","2.5e-47"
"ENSG00000110492","MDK","4.47","5.60","28.02","7.61e-107","5.98e-105"
"ENSG00000110799","VWF","2.27","3.21","21.45","4.98e-74","3.38e-73"
"ENSG00000111700","SLCO1B3","-2.48","2.95","-13.08","4.13e-34","3.57e-34"
"ENSG00000112186","CAP2","2.01","2.68","20.35","1.49e-68","7.13e-68"
"ENSG00000112312","GMNN","2.12","4.40","21.83","6.17e-76","4.87e-75"
"ENSG00000112936","C7","-2.59","3.89","-13.80","2.92e-37","2.94e-37"
"ENSG00000113296","THBS4","2.13","1.73","16.53","7.25e-50","1.3e-49"
"ENSG00000113600","C9","-3.55","5.41","-14.68","3.09e-41","3.7e-41"
"ENSG00000114812","VIPR1","-2.65","1.69","-29.73","3.13e-115","3.77e-113"
"ENSG00000115009","CCL20","2.30","3.70","10.67","3.15e-24","1.79e-24"
"ENSG00000116785","CFHR3","-2.03","5.57","-9.63","2.33e-20","1.1e-20"
"ENSG00000116882","HAO2","-2.89","4.37","-14.41","5.4e-40","6.14e-40"
"ENSG00000117399","CDC20","2.79","2.61","21.42","6.58e-74","4.4e-73"
"ENSG00000117632","STMN1","2.89","5.06","25.77","1.12e-95","4.5e-94"
"ENSG00000117724","CENPF","2.30","2.12","19.83","6.15e-66","2.52e-65"
"ENSG00000118785","SPP1","2.84","5.37","10.13","3.69e-22","1.9e-22"
"ENSG00000120907","ADRA1A","-2.74","1.97","-26.90","2.75e-101","1.48e-99"
"ENSG00000122952","ZWINT","2.25","2.74","21.16","1.33e-72","8.2e-72"
"ENSG00000123454","DBH","-2.61","1.69","-31.48","1.21e-123","2.48e-121"
"ENSG00000124253","PCK1","-2.56","6.70","-12.20","2.27e-30","1.66e-30"
"ENSG00000125144","MT1G","-5.37","7.31","-19.88","3.34e-66","1.4e-65"
"ENSG00000125148","MT2A","-2.92","9.02","-17.48","2.01e-54","4.54e-54"
"ENSG00000126838","PZP","-2.26","1.26","-18.26","3.14e-58","8.61e-58"
"ENSG00000127324","TSPAN8","2.30","4.65","11.99","1.75e-29","1.24e-29"
"ENSG00000129965","INS-IGF2","-2.04","1.07","-20.40","8.66e-69","4.19e-68"
"ENSG00000130300","PLVAP","3.45","4.35","40.11","4.6e-163","4.71e-160"
"ENSG00000130649","CYP2E1","-3.10","8.99","-10.00","1.06e-21","5.36e-22"
"ENSG00000130812","ANGPTL6","-2.24","2.10","-30.85","1.27e-120","2e-118"
"ENSG00000131747","TOP2A","2.69","2.62","21.61","7.93e-75","5.71e-74"
"ENSG00000132693","CRP","-3.05","8.46","-9.20","8.2e-19","3.59e-19"
"ENSG00000134057","CCNB1","2.76","3.12","23.89","2.71e-86","4.85e-85"
"ENSG00000134339","SAA2","-4.10","7.95","-12.49","1.46e-31","1.13e-31"
"ENSG00000135094","SDS","-2.37","6.51","-8.89","9.2e-18","3.85e-18"
"ENSG00000135423","GLS2","-2.51","4.00","-12.41","3.07e-31","2.34e-31"
"ENSG00000135451","TROAP","2.30","2.23","19.46","4.07e-64","1.51e-63"
"ENSG00000137309","HMGA1","2.10","4.61","19.27","3.65e-63","1.29e-62"
"ENSG00000138115","CYP2C8","-2.61","6.73","-12.42","2.69e-31","2.06e-31"
"ENSG00000139547","RDH16","-2.41","5.56","-13.03","7.12e-34","6.06e-34"
"ENSG00000140107","SLC25A47","-3.66","5.04","-16.89","1.49e-51","2.9e-51"
"ENSG00000140505","CYP1A2","-3.22","2.80","-14.80","9.54e-42","1.17e-41"
"ENSG00000142748","FCN3","-3.53","3.21","-23.27","3.69e-83","5.07e-82"
"ENSG00000143369","ECM1","-2.14","2.65","-22.62","6.58e-80","6.83e-79"
"ENSG00000143546","S100A8","-2.59","3.19","-18.36","1.09e-58","3.08e-58"
"ENSG00000145708","CRHBP","-2.80","1.90","-23.51","2.13e-84","3.16e-83"
"ENSG00000145824","CXCL14","-3.02","1.72","-26.70","2.55e-100","1.3e-98"
"ENSG00000147257","GPC3","5.35","5.03","22.41","7.38e-79","7.05e-78"
"ENSG00000147889","CDKN2A","2.92","2.61","22.51","2.26e-79","2.25e-78"
"ENSG00000148346","LCN2","2.19","4.85","8.47","2.46e-16","9.61e-17"
"ENSG00000148965","SAA4","-2.12","8.01","-11.45","2.82e-27","1.82e-27"
"ENSG00000149124","GLYAT","-2.03","5.14","-8.94","6.37e-18","2.69e-18"
"ENSG00000150656","CNDP1","-2.77","2.13","-20.83","5.95e-71","3.24e-70"
"ENSG00000151365","THRSP","-2.49","4.01","-10.13","3.71e-22","1.91e-22"
"ENSG00000154096","THY1","2.63","3.65","23.07","3.65e-82","4.47e-81"
"ENSG00000155666","KDM8","-2.27","3.78","-17.21","4.14e-53","8.67e-53"
"ENSG00000156006","NAT2","-2.70","2.73","-20.82","7.28e-71","3.94e-70"
"ENSG00000157456","CCNB2","2.10","1.98","20.21","8.07e-68","3.71e-67"
"ENSG00000159650","UROC1","-2.45","3.20","-14.06","2.08e-38","2.21e-38"
"ENSG00000160323","ADAMTS13","-2.36","2.48","-32.76","9.76e-130","2.85e-127"
"ENSG00000160339","FCN2","-3.83","2.00","-32.32","1.18e-127","2.69e-125"
"ENSG00000160801","PTH1R","-3.12","2.36","-32.56","8.54e-129","2.18e-126"
"ENSG00000160868","CYP3A4","-2.80","6.19","-8.62","7.4e-17","2.97e-17"
"ENSG00000160932","LY6E","-2.12","6.42","-13.07","4.65e-34","4e-34"
"ENSG00000161888","SPC24","2.05","2.01","22.04","5.19e-77","4.39e-76"
"ENSG00000162366","PDZK1IP1","2.41","3.49","9.95","1.71e-21","8.53e-22"
"ENSG00000162444","RBP7","2.22","3.50","21.99","9.25e-77","7.69e-76"
"ENSG00000164611","PTTG1","3.15","3.37","25.41","6.69e-94","2.17e-92"
"ENSG00000165682","CLEC1B","-2.72","1.15","-28.47","4.6e-109","4.09e-107"
"ENSG00000165841","CYP2C19","-2.42","1.44","-19.57","1.19e-64","4.59e-64"
"ENSG00000165949","IFI27","2.48","7.07","11.49","1.89e-27","1.23e-27"
"ENSG00000166183","ASPG","-3.10","3.98","-17.66","2.66e-55","6.24e-55"
"ENSG00000166391","MOGAT2","-2.68","3.53","-16.29","1.04e-48","1.75e-48"
"ENSG00000166741","NNMT","-2.62","8.61","-12.03","1.2e-29","8.54e-30"
"ENSG00000166803","PCLAF","2.01","2.89","18.33","1.49e-58","4.16e-58"
"ENSG00000167900","TK1","2.22","3.55","20.53","2.01e-69","1.01e-68"
"ENSG00000168389","MFSD2A","-3.36","3.81","-18.41","5.95e-59","1.7e-58"
"ENSG00000169136","ATF5","-2.41","7.75","-13.67","1.16e-36","1.13e-36"
"ENSG00000169245","CXCL10","2.14","3.12","12.81","6.05e-33","4.96e-33"
"ENSG00000169627","BOLA2B","2.09","5.89","25.72","1.87e-95","7.37e-94"
"ENSG00000169715","MT1E","-3.30","7.24","-14.50","2.18e-40","2.51e-40"
"ENSG00000169855","ROBO1","2.21","2.65","16.31","8.43e-49","1.43e-48"
"ENSG00000170312","CDK1","2.28","2.21","21.10","2.63e-72","1.58e-71"
"ENSG00000170345","FOS","-2.11","4.83","-13.36","2.49e-35","2.28e-35"
"ENSG00000170509","HSD17B13","-2.22","4.09","-8.99","4.14e-18","1.76e-18"
"ENSG00000171848","RRM2","2.25","2.61","18.91","2.12e-61","6.89e-61"
