ens_id,name,log2FC,aveEXP,t,p-value,q-value
"ENSG00000000938","FGR","-3.23","4.64","-48.85","9e-251","1.96e-249"
"ENSG00000002726","AOC1","2.51","1.89","21.44","4.47e-82","1.84e-82"
"ENSG00000004776","HSPB6","-3.78","4.42","-47.40","1.42e-242","2.05e-241"
"ENSG00000004799","PDK4","-3.16","4.71","-34.04","9.28e-162","2e-161"
"ENSG00000006071","ABCC8","-2.53","1.70","-26.17","1.19e-111","8.83e-112"
"ENSG00000007402","CACNA2D2","-2.16","3.85","-18.99","1.91e-67","5.93e-68"
"ENSG00000008438","PGLYRP1","-2.09","0.95","-33.84","1.81e-160","3.8e-160"
"ENSG00000008516","MMP25","-2.67","2.32","-35.09","2.15e-168","5.24e-168"
"ENSG00000010295","IFFO1","-2.33","3.54","-37.35","1.74e-182","5.94e-182"
"ENSG00000010319","SEMA3G","-2.66","2.66","-43.64","1.07e-220","8.99e-220"
"ENSG00000011426","ANLN","2.23","2.56","29.72","2.93e-134","3.55e-134"
"ENSG00000011465","DCN","-2.34","8.63","-29.35","6.75e-132","7.68e-132"
"ENSG00000012171","SEMA3B","-2.65","4.57","-30.71","1.39e-140","1.93e-140"
"ENSG00000012779","ALOX5","-2.64","5.60","-35.03","5.03e-168","1.21e-167"
"ENSG00000018280","SLC11A1","-4.19","5.47","-48.39","3.29e-248","6.17e-247"
"ENSG00000018625","ATP1A2","-2.13","1.42","-42.35","5.41e-213","3.76e-212"
"ENSG00000019169","MARCO","-2.35","5.56","-20.56","9.14e-77","3.4e-77"
"ENSG00000019186","CYP24A1","3.14","2.49","23.28","2.01e-93","1.04e-93"
"ENSG00000022267","FHL1","-4.37","5.48","-53.46","3.21e-276","1.43e-274"
"ENSG00000029993","HMGB3","3.28","5.88","40.02","6.51e-199","3.11e-198"
"ENSG00000034971","MYOC","-2.07","0.98","-32.51","4.7e-152","8.28e-152"
"ENSG00000035664","DAPK2","-2.06","3.93","-33.22","1.49e-156","2.87e-156"
"ENSG00000037280","FLT4","-2.13","3.11","-36.79","5.09e-179","1.62e-178"
"ENSG00000039068","CDH1","2.07","5.84","30.10","1.06e-136","1.35e-136"
"ENSG00000039523","RIPOR1","-2.07","5.15","-38.35","1.03e-188","4.05e-188"
"ENSG00000042062","RIPOR3","-2.33","1.84","-36.51","2.79e-177","8.42e-177"
