ens_id,name,log2FC,aveEXP,t,p-value,q-value
"ENSG00000000938","FGR","-3.62","4.45","-55.08","9.87e-281","6.33e-280"
"ENSG00000001084","GCLC","2.32","5.19","25.43","3.4e-106","1.07e-106"
"ENSG00000003436","TFPI","-2.51","5.58","-31.05","1.64e-141","8.8e-142"
"ENSG00000004776","HSPB6","-4.59","4.00","-62.92","1.03e-319","2.32e-318"
"ENSG00000004799","PDK4","-4.67","3.81","-52.10","4.68e-265","2.15e-264"
"ENSG00000005844","ITGAL","-2.04","3.52","-29.02","1.03e-128","4.54e-129"
"ENSG00000006071","ABCC8","-2.80","1.60","-29.29","2.07e-130","9.3e-131"
"ENSG00000006118","TMEM132A","2.19","4.76","34.86","3.2e-165","2.55e-165"
"ENSG00000006534","ALDH3B1","-2.81","3.91","-39.51","1.38e-193","1.76e-193"
"ENSG00000006740","ARHGAP44","-2.16","2.45","-40.05","8.27e-197","1.13e-196"
"ENSG00000007237","GAS7","-2.01","3.06","-34.22","2.79e-161","2.12e-161"
"ENSG00000007384","RHBDF1","-2.05","4.88","-31.53","1.69e-144","9.6e-145"
"ENSG00000007402","CACNA2D2","-3.60","2.92","-44.21","2.98e-221","5.94e-221"
"ENSG00000008323","PLEKHG6","2.42","2.81","36.89","1.02e-177","1.02e-177"
"ENSG00000008438","PGLYRP1","-2.15","1.00","-35.42","1.02e-168","8.56e-169"
"ENSG00000008516","MMP25","-2.79","2.35","-37.55","9.01e-182","9.51e-182"
"ENSG00000008853","RHOBTB2","-2.93","4.13","-38.34","1.57e-186","1.82e-186"
"ENSG00000010295","IFFO1","-2.72","3.38","-44.70","4.57e-224","9.68e-224"
"ENSG00000010319","SEMA3G","-2.87","2.52","-48.63","3.33e-246","1.09e-245"
"ENSG00000010327","STAB1","-2.40","5.39","-34.97","6.31e-166","5.09e-166"
"ENSG00000010671","BTK","-2.30","3.25","-39.94","3.89e-196","5.21e-196"
"ENSG00000010810","FYN","-2.16","5.25","-35.91","1.03e-171","9.16e-172"
"ENSG00000011426","ANLN","3.14","3.10","56.72","3.86e-289","3.13e-288"
"ENSG00000011465","DCN","-2.35","8.70","-24.76","5.04e-102","1.49e-102"
"ENSG00000012171","SEMA3B","-3.79","3.87","-52.01","1.38e-264","6.32e-264"
"ENSG00000012779","ALOX5","-3.56","5.09","-46.29","3.87e-233","9.83e-233"
"ENSG00000012822","CALCOCO1","-2.17","5.77","-44.47","9.18e-223","1.91e-222"
"ENSG00000013441","CLK1","-2.13","6.22","-31.74","8.54e-146","4.94e-146"
"ENSG00000013588","GPRC5A","-2.15","5.98","-20.83","5.3e-78","1.11e-78"
"ENSG00000018280","SLC11A1","-4.61","5.32","-55.49","7.73e-283","5.25e-282"
"ENSG00000018625","ATP1A2","-2.46","1.27","-51.91","5.07e-264","2.26e-263"
