ens_id,name,log2FC,aveEXP,t,p-value,q-value
"ENSG00000000971","CFH","-3.87","4.17","-26.40","6.25e-98","6.89e-98"
"ENSG00000001617","SEMA3F","3.10","4.51","24.21","4.03e-87","3.46e-87"
"ENSG00000002587","HS3ST1","-2.82","2.20","-27.52","2.17e-103","2.74e-103"
"ENSG00000002726","AOC1","2.41","2.09","11.20","3.35e-26","6.34e-27"
"ENSG00000003249","DBNDD1","2.28","3.91","20.82","2.1e-70","1.18e-70"
"ENSG00000003436","TFPI","-2.74","1.91","-30.25","1.64e-116","2.86e-116"
"ENSG00000003756","RBM5","-3.10","5.44","-30.44","2.26e-117","4.03e-117"
"ENSG00000003989","SLC7A2","-4.07","2.69","-25.92","1.48e-95","1.52e-95"
"ENSG00000004534","RBM6","-2.92","4.81","-33.20","2.73e-130","6.6e-130"
"ENSG00000004776","HSPB6","-4.23","5.23","-26.35","1.16e-97","1.27e-97"
"ENSG00000004777","ARHGAP33","-2.18","3.74","-17.11","2.54e-52","9.24e-53"
"ENSG00000004799","PDK4","-4.99","3.35","-43.62","1.83e-175","1.38e-174"
"ENSG00000004848","ARX","-5.29","1.44","-54.57","8.77e-217","1.82e-215"
"ENSG00000005001","PRSS22","3.03","2.80","22.26","1.68e-77","1.12e-77"
"ENSG00000005187","ACSM3","-4.11","4.31","-34.16","1.04e-134","2.85e-134"
"ENSG00000005249","PRKAR2B","-2.32","2.74","-22.52","8.42e-79","5.75e-79"
"ENSG00000005379","TSPOAP1","-2.81","4.03","-25.10","1.59e-91","1.5e-91"
"ENSG00000006047","YBX2","2.07","2.40","16.69","2.43e-50","8.47e-51"
"ENSG00000006327","TNFRSF12A","3.68","5.65","32.17","1.5e-125","3.24e-125"
"ENSG00000006453","BAIAP2L1","3.10","4.15","33.63","2.76e-132","7.03e-132"
"ENSG00000006555","TTC22","2.49","2.69","25.77","8.35e-95","8.39e-95"
"ENSG00000006606","CCL26","-3.39","1.10","-43.75","5.74e-176","4.51e-175"
"ENSG00000007038","PRSS21","4.43","4.05","21.03","2.05e-71","1.17e-71"
"ENSG00000007384","RHBDF1","-2.74","4.04","-29.68","8.82e-114","1.43e-113"
"ENSG00000007392","LUC7L","-2.54","4.76","-28.73","3.27e-109","4.79e-109"
"ENSG00000008118","CAMK1G","-2.94","1.45","-29.43","1.37e-112","2.16e-112"
"ENSG00000008128","CDK11A","-2.14","4.22","-22.12","8.39e-77","5.46e-77"
"ENSG00000008294","SPAG9","-2.68","3.36","-32.26","5.68e-126","1.24e-125"
"ENSG00000008311","AASS","-4.95","1.85","-61.29","2.32e-239","8.43e-238"
"ENSG00000008323","PLEKHG6","2.47","2.38","21.14","5.87e-72","3.38e-72"
"ENSG00000008394","MGST1","3.14","5.30","16.91","2.08e-51","7.42e-52"
"ENSG00000008517","IL32","2.67","6.38","17.24","5.55e-53","2.05e-53"
"ENSG00000008710","PKD1","-2.64","4.89","-24.27","1.91e-87","1.65e-87"
"ENSG00000010278","CD9","3.44","8.51","30.29","1.05e-116","1.84e-116"
"ENSG00000010295","IFFO1","-3.47","2.18","-42.43","1.36e-170","9.26e-170"
"ENSG00000010322","NISCH","-2.30","4.99","-22.20","3.17e-77","2.08e-77"
"ENSG00000011021","CLCN6","-2.02","2.76","-22.40","3.31e-78","2.23e-78"
"ENSG00000011028","MRC2","-2.01","4.72","-16.58","8.22e-50","2.83e-50"
"ENSG00000011426","ANLN","2.36","2.87","25.05","2.87e-91","2.69e-91"
"ENSG00000011465","DCN","-4.36","7.51","-22.80","3.77e-80","2.68e-80"
"ENSG00000011600","TYROBP","3.12","6.86","21.57","4.4e-74","2.68e-74"
"ENSG00000012124","CD22","-4.68","3.36","-27.17","1.14e-101","1.38e-101"
"ENSG00000012504","NR1H4","-3.01","0.63","-55.00","2.74e-218","6.01e-217"
"ENSG00000013297","CLDN11","-4.20","3.33","-31.78","1.05e-123","2.16e-123"
"ENSG00000013441","CLK1","-3.09","5.50","-36.47","4.1e-145","1.46e-144"
"ENSG00000013810","TACC3","2.46","4.51","23.50","1.21e-83","9.53e-84"
"ENSG00000014914","MTMR11","-3.07","3.15","-33.03","1.53e-129","3.65e-129"
"ENSG00000015475","BID","2.44","4.74","27.29","2.85e-102","3.49e-102"
"ENSG00000018189","RUFY3","-3.09","3.76","-35.61","3.01e-141","9.5e-141"
"ENSG00000018236","CNTN1","-2.62","1.88","-22.55","6e-79","4.13e-79"
"ENSG00000018625","ATP1A2","-2.91","1.15","-24.86","2.31e-90","2.13e-90"
"ENSG00000019582","CD74","3.24","10.42","20.10","7.72e-67","3.98e-67"
"ENSG00000020181","ADGRA2","-2.81","2.87","-23.65","2.22e-84","1.78e-84"
"ENSG00000020633","RUNX3","2.31","2.44","14.13","1.43e-38","3.74e-39"
"ENSG00000021300","PLEKHB1","3.15","4.45","23.68","1.55e-84","1.25e-84"
"ENSG00000022267","FHL1","-2.68","4.39","-18.50","5.17e-59","2.23e-59"
"ENSG00000022556","NLRP2","2.28","2.38","9.53","6.2e-20","9.88e-21"
"ENSG00000024526","DEPDC1","2.18","1.92","23.93","9.33e-86","7.76e-86"
"ENSG00000025708","TYMP","2.18","4.82","14.48","3.84e-40","1.05e-40"
"ENSG00000026025","VIM","-2.81","9.43","-22.11","9.26e-77","6.02e-77"
"ENSG00000026036","RTEL1-TNFRSF6B","-2.01","2.04","-24.18","5.62e-87","4.81e-87"
"ENSG00000026103","FAS","-2.21","3.40","-22.78","4.5e-80","3.18e-80"
"ENSG00000029993","HMGB3","2.90","4.82","28.81","1.25e-109","1.84e-109"
"ENSG00000034239","CLXN","-2.17","1.72","-13.79","4.55e-37","1.14e-37"
"ENSG00000035499","DEPDC1B","2.16","2.06","22.25","1.89e-77","1.25e-77"
"ENSG00000035862","TIMP2","-3.10","6.78","-23.97","5.91e-86","4.94e-86"
"ENSG00000037042","TUBG2","-2.26","3.47","-29.40","1.97e-112","3.08e-112"
"ENSG00000038382","TRIO","-2.10","4.42","-22.04","2.07e-76","1.33e-76"
"ENSG00000039068","CDH1","4.05","4.80","34.30","2.49e-135","6.88e-135"
"ENSG00000039537","C6","-2.36","0.71","-30.00","2.65e-115","4.5e-115"
"ENSG00000042062","RIPOR3","-3.16","1.47","-39.51","2.31e-158","1.13e-157"
"ENSG00000042493","CAPG","3.26","6.78","31.26","2.81e-121","5.5e-121"
"ENSG00000043039","BARX2","2.10","1.91","11.94","3.54e-29","7.25e-30"
"ENSG00000047188","YTHDC2","-2.35","2.35","-36.00","5.37e-143","1.77e-142"
"ENSG00000047457","CP","5.93","6.03","32.20","1.11e-125","2.39e-125"
"ENSG00000047634","SCML1","-3.13","2.47","-37.17","3.38e-148","1.29e-147"
"ENSG00000047648","ARHGAP6","-3.11","1.36","-45.21","7.55e-182","6.97e-181"
"ENSG00000048740","CELF2","-2.66","2.38","-26.78","9.08e-100","1.05e-99"
"ENSG00000049089","COL9A2","2.64","3.45","16.02","3.46e-47","1.12e-47"
"ENSG00000049540","ELN","-2.02","3.86","-12.75","1.47e-32","3.29e-33"
"ENSG00000050767","COL23A1","2.10","2.11","14.74","2.52e-41","7.1e-42"
"ENSG00000051180","RAD51","2.29","2.66","25.75","1.05e-94","1.05e-94"
"ENSG00000051523","CYBA","3.17","7.95","29.53","4.83e-113","7.67e-113"
"ENSG00000052344","PRSS8","6.12","5.60","50.90","1.34e-203","2.08e-202"
"ENSG00000053900","ANAPC4","-2.02","3.46","-27.01","6.81e-101","8.05e-101"
"ENSG00000054179","ENTPD2","2.07","2.69","15.09","6.93e-43","2.03e-43"
"ENSG00000054219","LY75","2.09","2.53","21.42","2.47e-73","1.47e-73"
"ENSG00000054654","SYNE2","-2.73","4.47","-26.30","2.03e-97","2.2e-97"
"ENSG00000056487","PHF21B","-2.02","0.65","-31.42","5.31e-122","1.06e-121"
"ENSG00000056558","TRAF1","-2.18","1.82","-32.50","4.39e-127","9.85e-127"
"ENSG00000058085","LAMC2","3.57","3.94","27.50","2.82e-103","3.54e-103"
"ENSG00000061987","MON2","-2.05","3.30","-27.04","5.13e-101","6.08e-101"
"ENSG00000063127","SLC6A16","-2.21","1.16","-34.59","1.19e-136","3.39e-136"
"ENSG00000064199","SPA17","2.49","3.46","25.17","6.83e-92","6.48e-92"
"ENSG00000064205","CCN5","-5.90","2.17","-55.47","6.47e-220","1.47e-218"
"ENSG00000064309","CDON","-2.23","2.66","-19.27","9.11e-63","4.28e-63"
"ENSG00000064655","EYA2","4.59","4.43","24.75","8.69e-90","7.91e-90"
"ENSG00000064692","SNCAIP","-3.43","1.78","-36.52","2.54e-145","9.13e-145"
"ENSG00000065361","ERBB3","3.75","4.44","29.12","4.27e-111","6.5e-111"
"ENSG00000066279","ASPM","2.19","2.02","26.42","5.21e-98","5.75e-98"
"ENSG00000066336","SPI1","2.08","4.14","15.73","7.63e-46","2.39e-46"
"ENSG00000066382","MPPED2","2.27","2.62","15.58","3.73e-45","1.15e-45"
"ENSG00000067445","TRO","-3.10","3.73","-22.13","7.81e-77","5.09e-77"
"ENSG00000067798","NAV3","-2.75","1.12","-45.97","7.9e-185","7.73e-184"
"ENSG00000068489","PRR11","2.50","2.70","26.19","6.71e-97","7.13e-97"
"ENSG00000068831","RASGRP2","-2.10","1.76","-22.39","4e-78","2.69e-78"
"ENSG00000069011","PITX1","2.21","2.58","10.74","1.99e-24","3.59e-25"
"ENSG00000069535","MAOB","-4.11","3.34","-29.08","6.85e-111","1.04e-110"
"ENSG00000069702","TGFBR3","-3.64","3.01","-37.47","1.64e-149","6.43e-149"
"ENSG00000069966","GNB5","-2.60","3.52","-30.69","1.39e-118","2.56e-118"
"ENSG00000070193","FGF10","-2.83","0.60","-55.93","1.7e-221","3.95e-220"
"ENSG00000070366","SMG6","-2.06","3.64","-25.73","1.25e-94","1.25e-94"
"ENSG00000070388","FGF22","-2.06","0.47","-51.39","2.18e-205","3.63e-204"
"ENSG00000070404","FSTL3","-2.75","3.51","-25.22","4.18e-92","4e-92"
"ENSG00000070526","ST6GALNAC1","2.20","3.35","13.07","5.94e-34","1.37e-34"
"ENSG00000070731","ST6GALNAC2","3.15","4.03","20.33","5.47e-68","2.91e-68"
"ENSG00000070778","PTPN21","-2.13","2.35","-29.37","2.65e-112","4.12e-112"
"ENSG00000071082","RPL31","-2.01","10.76","-21.61","2.9e-74","1.78e-74"
"ENSG00000071205","ARHGAP10","-3.38","2.37","-46.39","1.84e-186","1.84e-185"
"ENSG00000071539","TRIP13","2.79","3.44","28.66","7.14e-109","1.04e-108"
"ENSG00000071575","TRIB2","-2.73","4.40","-22.97","5.12e-81","3.72e-81"
"ENSG00000072571","HMMR","2.68","2.53","27.97","1.41e-105","1.87e-105"
"ENSG00000072778","ACADVL","-2.51","7.31","-27.84","6.56e-105","8.56e-105"
"ENSG00000072952","IRAG1","-2.61","2.05","-24.32","1.08e-87","9.45e-88"
"ENSG00000073060","SCARB1","-2.28","4.80","-22.45","1.86e-78","1.26e-78"
"ENSG00000073111","MCM2","2.50","4.59","25.29","1.83e-92","1.75e-92"
"ENSG00000073849","ST6GAL1","2.70","5.16","20.21","2.17e-67","1.14e-67"
"ENSG00000074935","TUBE1","-2.22","3.02","-30.68","1.55e-118","2.85e-118"
"ENSG00000075218","GTSE1","2.08","2.23","21.48","1.21e-73","7.24e-74"
"ENSG00000075234","TTC38","-2.09","3.63","-27.34","1.7e-102","2.1e-102"
"ENSG00000075275","CELSR1","3.37","3.53","31.00","4.77e-120","9.08e-120"
"ENSG00000075461","CACNG4","3.25","2.81","19.43","1.55e-63","7.4e-64"
"ENSG00000075651","PLD1","-2.78","2.23","-30.62","3.09e-118","5.64e-118"
"ENSG00000075826","SEC31B","-3.07","1.81","-38.80","2.68e-155","1.23e-154"
"ENSG00000076356","PLXNA2","-2.50","2.81","-23.84","2.45e-85","2.01e-85"
"ENSG00000076554","TPD52","4.12","5.04","41.28","7.82e-166","4.59e-165"
"ENSG00000076555","ACACB","-2.60","2.37","-29.71","6.23e-114","1.02e-113"
"ENSG00000076826","CAMSAP3","3.21","3.49","30.77","5.73e-119","1.07e-118"
"ENSG00000076864","RAP1GAP","2.57","3.48","20.51","7.27e-69","3.96e-69"
"ENSG00000076944","STXBP2","2.73","5.60","29.84","1.51e-114","2.52e-114"
"ENSG00000077044","DGKD","-2.79","2.69","-34.73","2.65e-137","7.7e-137"
"ENSG00000077152","UBE2T","4.02","4.37","42.22","9.7e-170","6.34e-169"
