ens_id,name,log2FC,aveEXP,t,p-value,q-value
"ENSG00000000971","CFH","3.09","3.98","27.62","3.3e-90","9.65e-91"
"ENSG00000002549","LAP3","2.29","4.77","27.84","5.16e-91","1.58e-91"
"ENSG00000002587","HS3ST1","2.83","1.77","29.15","6.29e-96","2.65e-96"
"ENSG00000002726","AOC1","4.69","2.64","35.02","7.69e-117","2.15e-116"
"ENSG00000002822","MAD1L1","2.43","3.46","29.31","1.57e-96","6.93e-97"
"ENSG00000002834","LASP1","2.09","5.54","28.84","8.83e-95","3.44e-95"
"ENSG00000002933","TMEM176A","3.56","5.43","30.29","3.71e-100","2.11e-100"
"ENSG00000003436","TFPI","2.41","4.11","20.70","7.45e-63","7.29e-64"
"ENSG00000004399","PLXND1","2.07","5.02","24.25","3.99e-77","6.29e-78"
"ENSG00000005020","SKAP2","2.83","2.95","37.63","1.61e-125","1.32e-124"
"ENSG00000005059","MCUB","2.62","2.38","35.35","6.12e-118","1.97e-117"
"ENSG00000005238","ATOSB","2.34","3.09","30.53","4.95e-101","3.02e-101"
"ENSG00000005448","WDR54","2.07","3.18","29.68","6.53e-98","3.14e-98"
"ENSG00000005486","RHBDD2","2.24","5.55","29.50","2.94e-97","1.35e-97"
"ENSG00000005884","ITGA3","3.46","5.29","31.38","4.39e-104","3.41e-104"
"ENSG00000006118","TMEM132A","2.70","3.26","28.64","4.82e-94","1.78e-94"
"ENSG00000006125","AP2B1","2.20","4.89","32.23","3.86e-107","3.92e-107"
"ENSG00000006210","CX3CL1","2.19","3.53","21.57","2.13e-66","2.34e-67"
"ENSG00000006327","TNFRSF12A","2.09","6.07","17.80","5.05e-51","3.67e-52"
"ENSG00000006451","RALA","2.52","3.81","37.62","1.74e-125","1.4e-124"
"ENSG00000006468","ETV1","2.45","2.01","30.81","4.68e-102","3.05e-102"
"ENSG00000006534","ALDH3B1","2.87","3.60","23.54","2.52e-74","3.58e-75"
"ENSG00000006611","USH1C","3.71","3.78","32.19","5.39e-107","5.4e-107"
"ENSG00000006747","SCIN","2.58","1.81","25.71","7.18e-83","1.43e-83"
"ENSG00000007062","PROM1","2.02","3.89","15.52","9.21e-42","5.57e-43"
"ENSG00000007306","CEACAM7","2.81","2.28","16.27","8.84e-45","5.65e-46"
"ENSG00000008323","PLEKHG6","2.04","2.80","23.58","1.83e-74","2.6e-75"
"ENSG00000010030","ETV7","2.16","1.81","28.58","7.89e-94","2.87e-94"
"ENSG00000010278","CD9","2.77","6.51","26.98","9.64e-88","2.47e-88"
"ENSG00000010438","PRSS3","-4.63","8.65","-22.81","2.19e-71","2.82e-72"
