ens_id,name,log2FC,aveEXP,t,p-value,q-value
"ENSG00000003096","KLHL13","2.50","4.57","4.29","2.88e-05","0.000139"
"ENSG00000003147","ICA1","3.98","5.59","7.52","2.17e-12","6.76e-11"
"ENSG00000003249","DBNDD1","3.30","5.33","7.29","8.64e-12","2.29e-10"
"ENSG00000004799","PDK4","-3.23","4.00","-3.63","0.000361","0.00121"
"ENSG00000005249","PRKAR2B","-2.64","3.21","-4.50","1.2e-05","6.56e-05"
"ENSG00000005471","ABCB4","-2.35","1.49","-4.42","1.66e-05","8.61e-05"
"ENSG00000005981","ASB4","-5.52","0.67","-8.63","2.58e-15","1.56e-13"
"ENSG00000006042","TMEM98","-2.94","2.41","-5.04","1.08e-06","8.17e-06"
"ENSG00000006453","BAIAP2L1","-3.09","0.97","-7.96","1.61e-13","6.63e-12"
"ENSG00000006534","ALDH3B1","-2.91","1.62","-5.99","1.06e-08","1.35e-07"
"ENSG00000006740","ARHGAP44","2.35","3.33","5.25","4.07e-07","3.38e-06"
"ENSG00000007516","BAIAP3","3.31","5.31","3.27","0.00126","0.00342"
"ENSG00000008056","SYN1","4.21","5.34","9.55","7.4e-18","7.77e-16"
"ENSG00000008130","NADK","-2.11","4.16","-5.74","3.81e-08","4.17e-07"
"ENSG00000008196","TFAP2B","4.00","4.35","5.40","2.02e-07","1.83e-06"
"ENSG00000008283","CYB561","4.61","9.65","6.75","1.78e-10","3.44e-09"
"ENSG00000008300","CELSR3","3.39","4.01","7.94","1.82e-13","7.36e-12"
"ENSG00000008394","MGST1","-8.59","1.60","-6.50","7.19e-10","1.22e-08"
"ENSG00000008513","ST3GAL1","-2.33","2.45","-4.37","2.06e-05","0.000104"
"ENSG00000008710","PKD1","2.43","6.57","4.58","8.44e-06","4.88e-05"
"ENSG00000008735","MAPK8IP2","2.49","5.40","5.75","3.53e-08","3.89e-07"
"ENSG00000009950","MLXIPL","-4.35","1.30","-5.98","1.14e-08","1.43e-07"
"ENSG00000010404","IDS","3.29","7.23","5.89","1.8e-08","2.15e-07"
"ENSG00000010438","PRSS3","4.99","5.88","4.83","2.82e-06","1.87e-05"
"ENSG00000010810","FYN","2.60","5.68","6.23","2.93e-09","4.19e-08"
