ens_id,name,log2FC,aveEXP,t,p-value,q-value
"ENSG00000004776","HSPB6","-2.08","6.09","-16.99","7.61e-54","6.75e-54"
"ENSG00000004799","PDK4","-2.07","4.49","-15.33","1.75e-45","1.05e-45"
"ENSG00000022267","FHL1","-2.11","6.35","-16.58","9.19e-52","7.38e-52"
"ENSG00000042062","RIPOR3","-2.06","1.01","-27.25","1.24e-109","5.7e-108"
"ENSG00000064205","CCN5","-2.16","2.12","-17.24","4.07e-55","3.82e-55"
"ENSG00000067445","TRO","-2.47","2.09","-30.36","9.88e-127","3.51e-124"
"ENSG00000072163","LIMS2","-2.01","5.36","-20.79","5.31e-74","1.45e-73"
"ENSG00000072195","SPEG","-2.43","4.21","-25.69","5.56e-101","1.22e-99"
"ENSG00000082014","SMARCD3","-2.02","4.48","-27.02","2.27e-108","9.94e-107"
"ENSG00000084636","COL16A1","-2.14","4.99","-21.49","8.48e-78","2.87e-77"
"ENSG00000086205","FOLH1","2.64","7.43","16.80","7.16e-53","6.07e-53"
"ENSG00000096006","CRISP3","2.38","3.21","9.11","9.82e-19","2.1e-19"
"ENSG00000100968","NFATC4","-2.36","4.08","-26.02","7.81e-103","1.88e-101"
"ENSG00000101443","WFDC2","-2.24","6.15","-14.13","1.04e-39","4.93e-40"
"ENSG00000102287","GABRE","-2.97","2.70","-23.35","5.05e-88","3.28e-87"
"ENSG00000105707","HPN","3.30","6.61","30.62","3.83e-128","1.81e-125"
"ENSG00000106258","CYP3A5","-3.10","2.53","-24.78","6.45e-96","8.42e-95"
"ENSG00000108846","ABCC3","-2.35","2.65","-22.17","1.53e-81","6.63e-81"
"ENSG00000109846","CRYAB","-2.01","6.35","-18.55","5.53e-62","7.17e-62"
"ENSG00000111664","GNB3","-2.16","1.29","-27.75","2.05e-112","1.17e-110"
"ENSG00000114270","COL7A1","-2.25","4.16","-17.77","6.92e-58","7.43e-58"
"ENSG00000114631","PODXL2","2.48","5.42","30.27","3.09e-126","8.8e-124"
"ENSG00000117472","TSPAN1","2.12","9.12","19.36","3.01e-66","5.05e-66"
"ENSG00000119888","EPCAM","2.60","7.14","26.78","5.31e-107","2.1e-105"
"ENSG00000123560","PLP1","-2.07","1.81","-20.50","2.01e-72","4.94e-72"
"ENSG00000124233","SEMG1","-2.04","1.09","-9.73","5.68e-21","1.33e-21"
"ENSG00000124440","HIF3A","-2.79","1.86","-29.45","9.57e-122","1.7e-119"
"ENSG00000124664","SPDEF","2.13","8.22","19.46","8.26e-67","1.43e-66"
"ENSG00000125257","ABCC4","2.50","6.11","21.26","1.6e-76","5.07e-76"
"ENSG00000128482","RNF112","-2.13","1.50","-24.56","9.58e-95","1.15e-93"
"ENSG00000128709","HOXD9","-2.01","2.54","-23.81","1.49e-90","1.33e-89"
"ENSG00000129467","ADCY4","-2.15","2.66","-22.87","2.09e-85","1.18e-84"
"ENSG00000130208","APOC1","2.12","5.44","18.15","7.68e-60","8.96e-60"
"ENSG00000130513","GDF15","2.22","7.72","16.57","1.03e-51","8.24e-52"
"ENSG00000130768","SMPDL3B","2.14","3.61","26.32","1.88e-104","5.04e-103"
"ENSG00000131746","TNS4","-2.26","3.14","-15.80","7.76e-48","5.19e-48"
"ENSG00000132821","VSTM2L","2.28","5.15","17.35","1.06e-55","1.01e-55"
