ens_id,name,log2FC,aveEXP,t,p-value,q-value
"ENSG00000000003","TSPAN6","2.82","4.78","21.66","5.45e-59","4.88e-59"
"ENSG00000001626","CFTR","3.91","2.81","21.33","6.33e-58","5.39e-58"
"ENSG00000001630","CYP51A1","2.19","4.39","22.10","2.02e-60","1.95e-60"
"ENSG00000002726","AOC1","4.90","3.46","17.75","5.82e-46","2.74e-46"
"ENSG00000002933","TMEM176A","2.03","6.66","15.12","5.54e-37","1.75e-37"
"ENSG00000003147","ICA1","2.88","3.99","26.75","7.06e-75","1.91e-74"
"ENSG00000004776","HSPB6","-5.92","6.72","-29.68","2.21e-83","1.21e-82"
"ENSG00000004799","PDK4","-4.33","5.43","-22.57","6.27e-62","6.71e-62"
"ENSG00000005001","PRSS22","3.90","1.90","32.31","1.31e-90","1.57e-89"
"ENSG00000005243","COPZ2","-2.65","4.81","-20.18","3.86e-54","2.7e-54"
"ENSG00000005379","TSPOAP1","-2.45","4.21","-15.90","1.12e-39","3.96e-40"
"ENSG00000006327","TNFRSF12A","2.25","4.60","12.52","3.53e-28","7.8e-29"
"ENSG00000006453","BAIAP2L1","3.23","3.32","24.73","9.71e-69","1.66e-68"
"ENSG00000006611","USH1C","4.17","3.90","22.26","6.23e-61","6.19e-61"
"ENSG00000006634","DBF4","2.33","2.64","29.28","3.03e-82","1.47e-81"
"ENSG00000007062","PROM1","2.90","3.07","17.05","1.34e-43","5.61e-44"
"ENSG00000007171","NOS2","2.29","1.54","15.23","2.21e-37","7.11e-38"
"ENSG00000007237","GAS7","-2.54","3.51","-20.16","4.46e-54","3.1e-54"
"ENSG00000007306","CEACAM7","3.31","3.18","8.80","2.39e-16","3.4e-17"
"ENSG00000007866","TEAD3","-2.10","5.58","-19.21","6.64e-51","3.95e-51"
"ENSG00000007952","NOX1","5.20","3.00","22.54","7.69e-62","8.09e-62"
"ENSG00000008311","AASS","-2.69","2.78","-24.95","2.15e-69","3.93e-69"
"ENSG00000008323","PLEKHG6","3.60","2.84","19.84","5.39e-53","3.53e-53"
"ENSG00000008517","IL32","3.47","6.68","21.06","5.08e-57","4.13e-57"
"ENSG00000008710","PKD1","-2.99","6.17","-22.28","5.32e-61","5.3e-61"
"ENSG00000009765","IYD","2.80","1.51","23.33","2.33e-64","3.02e-64"
"ENSG00000010030","ETV7","2.13","1.79","21.96","5.68e-60","5.37e-60"
"ENSG00000010295","IFFO1","-2.83","3.72","-25.18","4.09e-70","7.89e-70"
"ENSG00000010327","STAB1","-2.60","5.47","-21.62","7.21e-59","6.42e-59"
"ENSG00000010438","PRSS3","4.59","4.35","20.58","1.79e-55","1.35e-55"
"ENSG00000011052","NME1-NME2","2.18","3.62","17.32","1.66e-44","7.26e-45"
"ENSG00000011347","SYT7","2.65","2.62","25.09","7.88e-70","1.48e-69"
"ENSG00000011422","PLAUR","2.26","4.32","17.07","1.19e-43","5.01e-44"
"ENSG00000011426","ANLN","3.03","2.34","31.60","1.09e-88","1.02e-87"
"ENSG00000011465","DCN","-2.51","8.26","-14.22","6.66e-34","1.84e-34"
"ENSG00000012822","CALCOCO1","-2.19","6.39","-19.47","8.84e-52","5.46e-52"
"ENSG00000013297","CLDN11","-2.11","2.22","-16.45","1.56e-41","5.99e-42"
"ENSG00000013588","GPRC5A","4.43","4.01","21.82","1.58e-59","1.46e-59"
"ENSG00000013810","TACC3","2.10","3.62","22.58","6.01e-62","6.44e-62"
"ENSG00000015413","DPEP1","6.54","2.86","41.11","2.29e-112","2.54e-110"
"ENSG00000015475","BID","2.02","4.39","23.05","1.88e-63","2.29e-63"
"ENSG00000016391","CHDH","2.57","1.99","23.47","8.61e-65","1.15e-64"
"ENSG00000016402","IL20RA","2.54","2.15","28.60","2.66e-80","1.08e-79"
"ENSG00000017483","SLC38A5","3.54","3.52","20.45","4.92e-55","3.62e-55"
"ENSG00000018408","WWTR1","-2.80","4.80","-22.53","8.26e-62","8.68e-62"
"ENSG00000018625","ATP1A2","-4.90","3.47","-35.25","2.82e-98","8.93e-97"
"ENSG00000019144","PHLDB1","-2.04","5.70","-19.74","1.12e-52","7.25e-53"
"ENSG00000020577","SAMD4A","-2.86","3.68","-21.92","7.73e-60","7.24e-60"
"ENSG00000021645","NRXN3","-2.48","3.05","-17.21","3.88e-44","1.66e-44"
"ENSG00000022267","FHL1","-5.22","7.02","-30.74","2.44e-86","1.72e-85"
"ENSG00000023902","PLEKHO1","-3.86","6.43","-24.65","1.75e-68","2.93e-68"
"ENSG00000024422","EHD2","-2.66","5.47","-20.28","1.75e-54","1.25e-54"
"ENSG00000025423","HSD17B6","-2.44","3.40","-15.61","1.17e-38","3.98e-39"
"ENSG00000025772","TOMM34","2.47","4.40","33.16","7.19e-93","1.06e-91"
"ENSG00000026297","RNASET2","2.09","5.86","18.67","4.38e-49","2.4e-49"
"ENSG00000029993","HMGB3","3.57","3.97","29.16","6.71e-82","3.14e-81"
"ENSG00000034510","TMSB10","2.08","10.73","17.62","1.61e-45","7.4e-46"
"ENSG00000034971","MYOC","-2.99","2.08","-20.20","3.25e-54","2.29e-54"
"ENSG00000035115","SH3YL1","2.03","4.90","20.22","2.86e-54","2.02e-54"
