ens_id,name,log2FC,aveEXP,t,p-value,q-value
"ENSG00000000003","TSPAN6","2.30","2.63","39.10","3.46e-174","1.21e-174"
"ENSG00000001036","FUCA2","3.62","3.47","63.56","5.21e-284","1.62e-283"
"ENSG00000001630","CYP51A1","2.13","3.03","39.65","5.54e-177","2.03e-177"
"ENSG00000002330","BAD","2.18","5.38","49.44","2.06e-224","1.68e-224"
"ENSG00000002586","CD99","2.82","7.59","48.37","1.83e-219","1.33e-219"
"ENSG00000002834","LASP1","3.48","4.27","66.39","7.75e-295","3.05e-294"
"ENSG00000002933","TMEM176A","4.21","3.73","38.08","6e-169","1.92e-169"
"ENSG00000003249","DBNDD1","-2.40","3.16","-26.61","1.19e-106","1.74e-107"
"ENSG00000003989","SLC7A2","-3.59","4.12","-40.69","2.78e-182","1.1e-182"
"ENSG00000004139","SARM1","2.25","1.86","37.04","1.75e-163","5.2e-164"
"ENSG00000004399","PLXND1","3.05","5.30","52.40","1.01e-237","1.07e-237"
"ENSG00000004776","HSPB6","-2.67","8.99","-20.30","1.42e-71","1.42e-72"
"ENSG00000004799","PDK4","-4.88","7.16","-27.49","1.4e-111","2.15e-112"
"ENSG00000005022","SLC25A5","3.04","5.97","50.84","8.89e-231","8.16e-231"
"ENSG00000005059","MCUB","2.84","2.28","50.26","3.69e-228","3.22e-228"
"ENSG00000005448","WDR54","3.28","2.48","64.14","2.87e-286","9.35e-286"
"ENSG00000005981","ASB4","-2.43","1.59","-40.94","1.58e-183","6.42e-184"
"ENSG00000006042","TMEM98","3.11","3.01","28.65","4.75e-118","7.9e-119"
"ENSG00000006118","TMEM132A","3.33","2.60","43.18","1.08e-194","5.23e-195"
"ENSG00000006451","RALA","2.22","3.86","49.10","7.28e-223","5.66e-223"
"ENSG00000006468","ETV1","2.45","1.42","31.09","1.64e-131","3.15e-132"
"ENSG00000006534","ALDH3B1","2.68","2.04","41.18","9.69e-185","4.02e-185"
"ENSG00000006634","DBF4","2.02","1.93","40.19","9.64e-180","3.68e-180"
"ENSG00000006638","TBXA2R","2.33","1.44","42.15","1.37e-189","6.18e-190"
"ENSG00000006756","ARSD","2.61","1.81","49.42","2.67e-224","2.17e-224"
"ENSG00000007237","GAS7","2.35","2.32","24.40","2.62e-94","3.3e-95"
"ENSG00000007314","SCN4A","-4.79","3.42","-83.57","0","0"
"ENSG00000007372","PAX6","2.04","1.11","21.61","8.77e-79","9.39e-80"
"ENSG00000008283","CYB561","2.78","2.36","41.03","5.41e-184","2.21e-184"
