ens_id,name,log2FC,aveEXP,t,p-value,q-value
"ENSG00000000971","CFH","-2.19","4.79","-27.36","2.68e-124","4.24e-125"
"ENSG00000001617","SEMA3F","-3.24","4.43","-71.37","0","0"
"ENSG00000002745","WNT16","-2.16","1.47","-41.12","2.12e-219","8.05e-220"
"ENSG00000003137","CYP26B1","-3.02","3.29","-60.55","0","0"
"ENSG00000003249","DBNDD1","2.66","3.73","46.73","1.35e-256","7.11e-257"
"ENSG00000004776","HSPB6","-2.21","3.86","-24.61","1.64e-105","2.2e-106"
"ENSG00000004799","PDK4","-2.84","4.15","-26.30","5.44e-117","8.1e-118"
"ENSG00000004846","ABCB5","2.74","1.86","25.25","8.01e-110","1.11e-110"
"ENSG00000005001","PRSS22","-2.45","1.84","-41.08","4.3e-219","1.62e-219"
"ENSG00000006016","CRLF1","-2.86","3.72","-45.03","1.76e-245","8.4e-246"
"ENSG00000006468","ETV1","2.92","2.74","43.52","1.65e-235","7.2e-236"
"ENSG00000006555","TTC22","-3.90","2.61","-85.37","0","0"
"ENSG00000007216","SLC13A2","-2.08","1.17","-37.85","4.55e-197","1.38e-197"
"ENSG00000007866","TEAD3","-2.50","4.34","-56.54","8e-318","7.55e-318"
"ENSG00000008323","PLEKHG6","-3.22","2.11","-95.28","0","0"
"ENSG00000008394","MGST1","-2.37","4.57","-21.59","1.53e-85","1.72e-86"
"ENSG00000009950","MLXIPL","-2.27","1.63","-42.14","3.12e-226","1.26e-226"
"ENSG00000010270","STARD3NL","2.25","3.86","53.00","2.61e-296","2.03e-296"
"ENSG00000010319","SEMA3G","-2.02","2.47","-38.68","8.74e-203","2.82e-203"
"ENSG00000010438","PRSS3","-5.22","3.55","-70.94","0","0"
"ENSG00000011052","NME1-NME2","2.11","4.44","42.96","1.02e-231","4.29e-232"
"ENSG00000011465","DCN","-3.80","7.69","-39.98","1.29e-211","4.55e-212"
"ENSG00000011600","TYROBP","2.23","5.70","31.75","1e-154","2.09e-155"
"ENSG00000011638","LDAF1","-2.36","5.28","-58.90","0","0"
"ENSG00000012124","CD22","2.20","1.63","29.38","3.13e-138","5.64e-139"
"ENSG00000012822","CALCOCO1","-2.42","6.52","-73.72","0","0"
"ENSG00000013441","CLK1","-2.17","6.24","-42.71","4.56e-230","1.89e-230"
"ENSG00000014257","ACP3","-2.65","2.43","-43.62","3.83e-236","1.68e-236"
