ens_id,name,log2FC,aveEXP,t,p-value,q-value
"ENSG00000001626","CFTR","2.16","2.20","17.60","1.17e-56","4.88e-57"
"ENSG00000002726","AOC1","4.31","3.99","28.49","3.62e-115","1.3e-114"
"ENSG00000004799","PDK4","-2.33","4.51","-15.73","3.17e-47","1.01e-47"
"ENSG00000005379","TSPOAP1","-2.18","2.60","-23.88","3.98e-90","5.08e-90"
"ENSG00000006071","ABCC8","-2.24","1.31","-25.16","4.33e-97","7.06e-97"
"ENSG00000006611","USH1C","2.16","4.39","18.32","2.44e-60","1.13e-60"
"ENSG00000006634","DBF4","2.07","3.28","34.55","3.21e-147","7.59e-146"
"ENSG00000007306","CEACAM7","2.20","1.91","13.67","1.93e-37","4.65e-38"
"ENSG00000008323","PLEKHG6","2.12","3.55","20.38","3.22e-71","2.11e-71"
"ENSG00000008517","IL32","3.63","7.24","33.62","2.13e-142","3.65e-141"
"ENSG00000010030","ETV7","2.01","2.78","22.88","1.1e-84","1.16e-84"
"ENSG00000010438","PRSS3","3.14","5.08","21.67","3.67e-78","3.06e-78"
"ENSG00000011422","PLAUR","2.33","5.19","22.53","8.94e-83","8.78e-83"
"ENSG00000011426","ANLN","3.11","3.37","36.45","5.46e-157","2.69e-155"
"ENSG00000011600","TYROBP","2.14","6.30","20.52","6.07e-72","4.06e-72"
"ENSG00000013588","GPRC5A","3.70","6.11","25.50","6.36e-99","1.12e-98"
"ENSG00000013810","TACC3","2.13","4.06","28.16","2.27e-113","7.51e-113"
"ENSG00000015475","BID","2.18","4.51","33.38","3.46e-141","5.05e-140"
"ENSG00000019582","CD74","2.33","10.14","19.87","1.59e-68","9.56e-69"
"ENSG00000021826","CPS1","2.03","2.24","11.28","5.59e-27","1.01e-27"
"ENSG00000022267","FHL1","-2.57","5.55","-15.79","1.58e-47","5.07e-48"
"ENSG00000024526","DEPDC1","2.01","1.80","30.24","1.51e-124","8.48e-124"
"ENSG00000026508","CD44","2.11","6.70","17.98","1.27e-58","5.6e-59"
"ENSG00000029993","HMGB3","2.46","4.42","31.95","1.12e-133","9.84e-133"
"ENSG00000034971","MYOC","-3.06","1.71","-22.26","2.59e-81","2.42e-81"
"ENSG00000035499","DEPDC1B","2.45","2.33","34.51","4.74e-147","1.08e-145"
"ENSG00000038427","VCAN","2.15","4.23","19.70","1.38e-67","8.06e-68"
"ENSG00000039068","CDH1","2.31","5.83","16.40","1.5e-50","5.23e-51"
"ENSG00000046604","DSG2","2.88","4.93","26.44","4.82e-104","1.05e-103"
"ENSG00000050344","NFE2L3","2.17","3.96","30.11","7.18e-124","3.91e-123"
"ENSG00000051180","RAD51","2.24","2.47","33.30","9.68e-141","1.33e-139"
"ENSG00000051523","CYBA","2.22","7.56","26.42","6.26e-104","1.36e-103"
"ENSG00000054219","LY75","2.39","3.04","30.61","1.49e-126","9.13e-126"
"ENSG00000058085","LAMC2","3.05","4.06","26.55","1.26e-104","2.81e-104"
"ENSG00000058804","NDC1","2.03","3.26","31.89","2.32e-133","1.98e-132"
"ENSG00000062038","CDH3","2.87","3.02","25.85","7.38e-101","1.41e-100"
"ENSG00000064270","ATP2C2","2.04","2.60","18.26","4.89e-60","2.24e-60"
"ENSG00000066279","ASPM","2.29","2.08","33.71","6.59e-143","1.16e-141"
"ENSG00000068489","PRR11","2.99","2.85","42.66","1.6e-187","1.9e-184"
"ENSG00000068650","ATP11A","2.17","3.88","26.37","1.11e-103","2.36e-103"
"ENSG00000070019","GUCY2C","2.21","1.75","15.85","7.98e-48","2.58e-48"
"ENSG00000070756","PABPC1","2.31","10.18","31.00","1.24e-128","8.54e-128"
"ENSG00000071539","TRIP13","2.57","2.64","34.86","7.19e-149","2.02e-147"
"ENSG00000072195","SPEG","-2.12","3.13","-13.90","1.78e-38","4.42e-39"
"ENSG00000072571","HMMR","2.59","2.62","33.96","3.41e-144","6.4e-143"
"ENSG00000073111","MCM2","2.53","3.53","33.51","7.36e-142","1.15e-140"
"ENSG00000075218","GTSE1","2.06","2.35","27.74","4.44e-111","1.31e-110"
"ENSG00000075618","FSCN1","2.16","4.31","21.77","1.07e-78","9.17e-79"
"ENSG00000076344","RGS11","-2.27","1.84","-30.01","2.45e-123","1.28e-122"
"ENSG00000076382","SPAG5","2.01","3.38","26.07","4.8e-102","9.72e-102"
"ENSG00000076554","TPD52","2.08","6.11","25.12","6.82e-97","1.1e-96"
"ENSG00000077152","UBE2T","2.99","3.82","38.00","8.61e-165","9.25e-163"
"ENSG00000078081","LAMP3","2.42","2.10","28.54","2e-115","7.36e-115"
"ENSG00000078098","FAP","2.09","2.54","21.43","7.17e-77","5.64e-77"
"ENSG00000079112","CDH17","4.03","3.29","21.34","2.32e-76","1.8e-76"
