ens_id,name,log2FC,aveEXP,t,p-value,q-value
"ENSG00000003147","ICA1","-3.05","4.63","-29.90","8.04e-95","2.44e-95"
"ENSG00000004809","SLC22A16","-4.13","2.40","-39.77","3.93e-126","3.48e-126"
"ENSG00000004838","ZMYND10","-7.31","5.07","-43.33","3.17e-136","4.84e-136"
"ENSG00000005187","ACSM3","-3.03","3.69","-31.44","4.81e-100","1.68e-100"
"ENSG00000005189","REXO5","-5.47","5.14","-46.83","1.44e-145","3.55e-145"
"ENSG00000006047","YBX2","-6.61","6.19","-42.31","2.2e-133","2.89e-133"
"ENSG00000006282","SPATA20","-3.38","5.97","-39.65","8.68e-126","7.55e-126"
"ENSG00000006837","CDKL3","-3.40","2.87","-49.93","1.91e-153","7.8e-153"
"ENSG00000007038","PRSS21","-4.80","4.50","-37.28","1.02e-118","6.45e-119"
"ENSG00000007350","TKTL1","-4.01","4.89","-16.66","2.36e-45","2.73e-46"
"ENSG00000008226","DLEC1","-4.18","2.80","-60.58","7.79e-178","1.83e-176"
"ENSG00000008517","IL32","3.08","5.79","26.04","3.65e-81","8.27e-82"
"ENSG00000009950","MLXIPL","-4.32","3.78","-42.57","4.14e-134","5.68e-134"
"ENSG00000010278","CD9","3.92","6.74","33.72","1.49e-107","6.4e-108"
"ENSG00000010282","HHATL","-3.15","1.88","-51.98","1.94e-158","1.1e-157"
"ENSG00000010318","PHF7","-7.14","6.83","-48.37","1.52e-149","4.82e-149"
"ENSG00000011590","ZBTB32","-5.08","3.63","-42.35","1.72e-133","2.28e-133"
"ENSG00000011600","TYROBP","3.59","5.29","30.31","3.03e-96","9.43e-97"
"ENSG00000013297","CLDN11","-4.70","5.35","-30.20","7.4e-96","2.29e-96"
"ENSG00000013588","GPRC5A","3.81","3.22","24.66","4.25e-76","8.69e-77"
"ENSG00000013619","MAMLD1","-3.66","3.11","-46.52","8.96e-145","2.13e-144"
"ENSG00000015413","DPEP1","-3.82","4.49","-32.05","4.52e-102","1.65e-102"
"ENSG00000019582","CD74","3.63","8.70","27.48","2.47e-86","6.21e-87"
"ENSG00000020577","SAMD4A","-5.60","4.75","-38.74","4.21e-123","3.22e-123"
"ENSG00000021300","PLEKHB1","-3.12","3.99","-29.68","4.67e-94","1.39e-94"
"ENSG00000023572","GLRX2","-3.20","4.22","-34.70","1.06e-110","5.03e-111"
"ENSG00000026751","SLAMF7","3.90","2.09","27.87","9.6e-88","2.48e-88"
"ENSG00000032742","IFT88","-3.36","4.34","-42.93","4.12e-135","5.86e-135"
"ENSG00000034239","CLXN","-4.66","3.04","-36.61","1.15e-116","6.65e-117"
"ENSG00000036672","USP2","-5.42","3.92","-52.79","2.22e-160","1.49e-159"
"ENSG00000039068","CDH1","3.75","2.53","26.23","7.64e-82","1.75e-82"
"ENSG00000039600","SOX30","-5.86","3.47","-47.10","2.79e-146","7.21e-146"
"ENSG00000042813","ZPBP","-6.40","3.55","-53.56","3.51e-162","2.7e-161"
"ENSG00000043093","DCUN1D1","-4.33","5.69","-32.48","1.69e-103","6.47e-104"
"ENSG00000047634","SCML1","-3.62","3.60","-49.64","9.92e-153","3.93e-152"
"ENSG00000050344","NFE2L3","3.77","4.07","37.60","1.09e-119","7.26e-120"
"ENSG00000051523","CYBA","3.69","5.39","42.76","1.23e-134","1.72e-134"
"ENSG00000052344","PRSS8","3.55","2.61","23.08","3.64e-70","6.62e-71"
"ENSG00000062038","CDH3","3.56","3.91","41.66","1.45e-131","1.73e-131"
"ENSG00000063127","SLC6A16","-4.94","3.83","-49.31","6.73e-152","2.46e-151"
"ENSG00000063438","AHRR","-5.03","3.21","-48.46","9.31e-150","2.98e-149"
"ENSG00000064199","SPA17","-4.85","5.45","-36.98","8.59e-118","5.26e-118"
"ENSG00000064205","CCN5","-3.96","3.47","-22.58","2.72e-68","4.77e-69"
"ENSG00000064218","DMRT3","-3.03","2.12","-41.43","6.71e-131","7.7e-131"
"ENSG00000065371","ROPN1","-6.86","3.77","-46.46","1.3e-144","3.08e-144"
"ENSG00000066032","CTNNA2","-3.69","2.67","-43.70","3.1e-137","4.93e-137"
"ENSG00000066185","ZMYND12","-3.87","3.04","-39.97","1.04e-126","9.51e-127"
"ENSG00000066923","STAG3","-3.72","5.55","-42.06","1.09e-132","1.39e-132"
"ENSG00000068615","REEP1","-3.32","3.98","-34.87","3.08e-111","1.48e-111"
"ENSG00000068724","TTC7A","-3.05","5.25","-40.28","1.31e-127","1.25e-127"
"ENSG00000068985","PAGE1","-4.30","2.34","-56.01","8.1e-168","9.66e-167"
"ENSG00000070371","CLTCL1","-3.56","4.11","-49.06","2.84e-151","9.92e-151"
"ENSG00000070404","FSTL3","-3.35","5.03","-35.77","4.49e-114","2.36e-114"
"ENSG00000070731","ST6GALNAC2","-4.96","4.35","-37.29","9.85e-119","6.25e-119"
"ENSG00000072422","RHOBTB1","-3.39","3.44","-33.86","5.43e-108","2.36e-108"
"ENSG00000073146","MOV10L1","-4.76","3.36","-53.86","6.92e-163","5.64e-162"
"ENSG00000073598","FNDC8","-5.96","3.28","-37.48","2.56e-119","1.67e-119"
"ENSG00000073849","ST6GAL1","3.59","3.52","40.14","3.33e-127","3.12e-127"
"ENSG00000074276","CDHR2","-4.12","2.73","-28.48","6.71e-90","1.82e-90"
"ENSG00000075826","SEC31B","-3.25","3.50","-61.10","6.35e-179","1.63e-177"
"ENSG00000075886","TUBA3D","-5.50","5.16","-29.91","7.41e-95","2.26e-95"
"ENSG00000077327","SPAG6","-4.93","3.54","-41.56","2.76e-131","3.22e-131"
"ENSG00000077800","FKBP6","-5.20","3.53","-44.75","4.32e-140","7.91e-140"
"ENSG00000077935","SMC1B","-4.27","2.62","-45.58","2.61e-142","5.41e-142"
"ENSG00000078043","PIAS2","-3.49","4.93","-34.43","7.65e-110","3.56e-110"
"ENSG00000078114","NEBL","-3.11","2.97","-23.54","6.61e-72","1.24e-72"
"ENSG00000078487","ZCWPW1","-3.73","4.94","-43.36","2.6e-136","3.99e-136"
"ENSG00000078814","MYH7B","-3.45","3.14","-34.18","4.83e-109","2.17e-109"
"ENSG00000079335","CDC14A","-3.23","3.14","-31.93","1.06e-101","3.85e-102"
"ENSG00000079393","DUSP13B","-5.17","3.15","-40.97","1.34e-129","1.42e-129"
"ENSG00000079435","LIPE","-3.73","4.46","-34.98","1.41e-111","6.89e-112"
"ENSG00000080200","CRYBG3","-3.02","3.14","-39.24","1.44e-124","1.18e-124"
"ENSG00000080224","EPHA6","-3.86","2.39","-34.97","1.46e-111","7.11e-112"
"ENSG00000080298","RFX3","-3.08","2.88","-34.63","1.77e-110","8.36e-111"
"ENSG00000080572","DNAAF6","-3.54","1.92","-41.27","1.82e-130","2.04e-130"
"ENSG00000080823","MOK","-3.59","5.01","-38.04","5.24e-121","3.65e-121"
"ENSG00000082196","C1QTNF3","-3.56","3.18","-28.89","2.55e-91","7.11e-92"
"ENSG00000082397","EPB41L3","-3.74","4.74","-44.29","7.59e-139","1.31e-138"
"ENSG00000082458","DLG3","3.47","3.61","44.79","3.48e-140","6.46e-140"
"ENSG00000084207","GSTP1","3.21","7.63","39.46","3.15e-125","2.65e-125"
"ENSG00000084636","COL16A1","-3.36","5.31","-22.04","3.19e-66","5.39e-67"
"ENSG00000084693","AGBL5","-3.51","6.17","-33.35","2.4e-106","9.97e-107"
"ENSG00000084764","MAPRE3","-3.38","4.79","-47.98","1.56e-148","4.71e-148"
"ENSG00000085831","TTC39A","-3.30","4.40","-32.25","9.31e-103","3.48e-103"
"ENSG00000086570","FAT2","-3.34","2.03","-30.03","2.81e-95","8.63e-96"
"ENSG00000086717","PPEF1","-3.27","2.43","-38.32","7.42e-122","5.34e-122"
