ens_id,name,log2FC,aveEXP,t,p-value,q-value
"ENSG00000003137","CYP26B1","-2.42","2.16","-36.35","1.87e-175","6.89e-175"
"ENSG00000003436","TFPI","-2.77","3.51","-48.19","1.47e-245","1.19e-243"
"ENSG00000004776","HSPB6","-3.81","3.91","-46.35","4.11e-235","2.12e-233"
"ENSG00000004777","ARHGAP33","-2.67","3.08","-39.11","2.25e-192","1.61e-191"
"ENSG00000005379","TSPOAP1","-2.06","4.47","-37.97","2.07e-185","1.09e-184"
"ENSG00000006128","TAC1","-2.32","1.09","-33.10","3.9e-155","7.29e-155"
"ENSG00000006327","TNFRSF12A","2.33","6.46","24.54","4.99e-101","2.59e-101"
"ENSG00000008710","PKD1","-2.07","4.54","-38.93","2.89e-191","1.96e-190"
"ENSG00000011465","DCN","-4.05","6.63","-31.58","1.47e-145","2.05e-145"
"ENSG00000012817","KDM5D","-2.15","1.93","-13.56","4.59e-38","7.95e-39"
"ENSG00000017427","IGF1","-2.60","2.54","-29.18","2.41e-130","2.3e-130"
"ENSG00000026036","RTEL1-TNFRSF6B","-2.11","2.47","-38.76","3.15e-190","2.06e-189"
"ENSG00000034971","MYOC","-3.55","1.95","-38.43","3.13e-188","1.78e-187"
"ENSG00000037280","FLT4","-2.19","3.65","-31.84","3.78e-147","5.47e-147"
"ENSG00000042062","RIPOR3","-2.82","1.91","-44.23","7.16e-223","1.8e-221"
"ENSG00000046889","PREX2","-2.04","2.09","-39.54","5.78e-195","4.62e-194"
"ENSG00000047457","CP","-2.53","2.82","-29.52","1.83e-132","1.83e-132"
"ENSG00000049540","ELN","-2.37","4.22","-28.79","8.19e-128","7.31e-128"
"ENSG00000050767","COL23A1","-2.55","4.86","-26.97","2.48e-116","1.74e-116"
"ENSG00000054690","PLEKHH1","-3.04","6.04","-40.98","1.15e-203","1.37e-202"
"ENSG00000055955","ITIH4","-2.21","2.39","-36.12","5.1e-174","1.8e-173"
