ens_id,name,log2FC,aveEXP,t,p-value,q-value
"ENSG00000000005","TNMD","-3.18","0.46","-8.90","6.22e-15","3.77e-12"
"ENSG00000004776","HSPB6","-5.76","1.33","-7.42","1.73e-11","6.03e-09"
"ENSG00000005249","PRKAR2B","-3.61","1.82","-7.04","1.17e-10","3.29e-08"
"ENSG00000008394","MGST1","-5.77","1.76","-5.16","9.6e-07","0.000131"
"ENSG00000010319","SEMA3G","-2.15","1.66","-4.08","7.96e-05","0.00581"
"ENSG00000050628","PTGER3","-2.55","1.02","-3.98","0.000118","0.00787"
"ENSG00000056998","GYG2","-3.60","0.91","-7.08","1e-10","2.89e-08"
"ENSG00000062282","DGAT2","-3.57","2.26","-5.43","2.93e-07","4.5e-05"
"ENSG00000064205","CCN5","-3.72","1.00","-4.29","3.54e-05","0.00309"
"ENSG00000068976","PYGM","-2.02","0.91","-7.64","5.31e-12","2.04e-09"
"ENSG00000069535","MAOB","-3.00","1.00","-7.69","4.21e-12","1.73e-09"
"ENSG00000074416","MGLL","-2.49","2.84","-4.94","2.55e-06","0.000309"
"ENSG00000076555","ACACB","-3.12","1.92","-6.01","1.93e-08","3.42e-06"
"ENSG00000079435","LIPE","-4.26","3.51","-6.86","3.03e-10","7.92e-08"
"ENSG00000092445","TYRO3","-2.18","1.23","-4.35","2.89e-05","0.00268"
"ENSG00000094963","FMO2","-3.38","0.71","-6.93","2.09e-10","5.61e-08"
"ENSG00000095637","SORBS1","-3.63","1.31","-4.61","9.97e-06","0.00104"
"ENSG00000100626","GALNT16","-2.35","0.57","-6.54","1.48e-09","3.47e-07"
"ENSG00000102359","SRPX2","-2.79","0.52","-4.84","3.87e-06","0.000433"
"ENSG00000102962","CCL22","-2.29","1.37","-4.05","9.06e-05","0.00645"
"ENSG00000106034","CPED1","-2.14","0.69","-5.06","1.47e-06","0.000188"
"ENSG00000106823","ECM2","-3.03","0.72","-6.39","3.08e-09","6.83e-07"
"ENSG00000108960","MMD","-2.15","2.43","-4.84","3.81e-06","0.000433"
"ENSG00000112936","C7","-4.59","1.72","-3.93","0.00014","0.009"
"ENSG00000115226","FNDC4","-2.43","0.51","-7.17","6.02e-11","1.78e-08"
"ENSG00000116194","ANGPTL1","-2.78","0.22","-10.82","1.46e-19","2.4e-16"
"ENSG00000117594","HSD11B1","-2.75","0.36","-6.94","2.01e-10","5.52e-08"
"ENSG00000119927","GPAM","-3.87","1.76","-9.41","3.64e-16","2.79e-13"
"ENSG00000120049","KCNIP2","-4.45","1.08","-10.20","4.54e-18","4.02e-15"
"ENSG00000123689","G0S2","-5.45","1.82","-6.56","1.33e-09","3.19e-07"
"ENSG00000124212","PTGIS","-2.33","0.68","-4.50","1.55e-05","0.00158"
"ENSG00000124253","PCK1","-3.13","0.18","-9.44","3.03e-16","2.5e-13"
"ENSG00000126218","F10","-2.58","1.02","-4.44","1.96e-05","0.00193"
"ENSG00000129596","CDO1","-2.87","0.75","-4.21","4.83e-05","0.00387"
"ENSG00000131471","AOC3","-4.21","1.99","-6.70","6.64e-10","1.66e-07"
"ENSG00000132170","PPARG","-2.76","1.71","-5.12","1.15e-06","0.000152"
"ENSG00000133317","LGALS12","-3.98","0.20","-13.56","3.66e-26","1.41e-22"
"ENSG00000133392","MYH11","-3.16","1.35","-4.93","2.58e-06","0.00031"
"ENSG00000133800","LYVE1","-3.26","0.48","-7.50","1.12e-11","4.03e-09"
"ENSG00000134201","GSTM5","-2.71","0.99","-5.25","6.54e-07","9.54e-05"
"ENSG00000135218","CD36","-4.16","3.33","-4.09","7.84e-05","0.00576"
"ENSG00000135424","ITGA7","-3.19","2.51","-7.20","5.23e-11","1.63e-08"
"ENSG00000135437","RDH5","-3.26","2.32","-8.16","3.31e-13","1.66e-10"
"ENSG00000135447","PPP1R1A","-5.40","0.54","-10.67","3.35e-19","4.29e-16"
"ENSG00000135917","SLC19A3","-2.88","0.24","-9.28","7.69e-16","5.54e-13"
"ENSG00000137033","IL33","-2.67","1.27","-4.44","2e-05","0.00195"
"ENSG00000138207","RBP4","-5.81","0.59","-10.74","2.28e-19","3.29e-16"
"ENSG00000141338","ABCA8","-3.45","0.72","-7.18","5.99e-11","1.78e-08"
"ENSG00000142973","CYP4B1","-2.67","0.64","-4.03","9.69e-05","0.00676"
"ENSG00000143196","DPT","-6.31","1.37","-6.22","7.28e-09","1.35e-06"
"ENSG00000144476","ACKR3","-2.80","2.28","-4.13","6.56e-05","0.00498"
"ENSG00000146374","RSPO3","-2.48","0.66","-4.29","3.53e-05","0.00309"
"ENSG00000148053","NTRK2","-3.08","0.48","-7.63","5.66e-12","2.1e-09"
"ENSG00000149451","ADAM33","-2.51","0.57","-4.94","2.5e-06","0.000306"
"ENSG00000151365","THRSP","-4.82","0.35","-8.70","1.8e-14","9.88e-12"
"ENSG00000151632","AKR1C2","-4.18","1.86","-3.91","0.000149","0.00939"
"ENSG00000151726","ACSL1","-3.01","3.52","-4.27","3.83e-05","0.0032"
"ENSG00000152270","PDE3B","-2.55","1.01","-5.80","5.4e-08","9.02e-06"
"ENSG00000154258","ABCA9","-2.48","0.34","-8.09","4.8e-13","2.31e-10"
"ENSG00000154262","ABCA6","-2.09","0.50","-6.06","1.52e-08","2.74e-06"
"ENSG00000157150","TIMP4","-4.08","0.74","-7.68","4.34e-12","1.73e-09"
"ENSG00000158555","GDPD5","-2.03","2.26","-3.96","0.000125","0.0082"
"ENSG00000159251","ACTC1","-2.68","0.22","-9.16","1.44e-15","9.74e-13"
"ENSG00000162733","DDR2","-2.92","0.72","-5.16","9.69e-07","0.000131"
"ENSG00000163017","ACTG2","-2.56","1.23","-3.93","0.000143","0.00907"
"ENSG00000163431","LMOD1","-2.67","1.08","-5.01","1.87e-06","0.000234"
"ENSG00000163520","FBLN2","-3.24","3.07","-4.84","3.87e-06","0.000433"
"ENSG00000163815","CLEC3B","-2.68","4.45","-4.09","7.75e-05","0.00573"
"ENSG00000164530","PI16","-4.23","1.37","-5.19","8.56e-07","0.000122"
"ENSG00000164638","SLC29A4","-2.72","1.21","-6.32","4.42e-09","8.91e-07"
"ENSG00000164849","GPR146","-2.40","1.56","-4.18","5.54e-05","0.00429"
"ENSG00000164920","OSR2","-2.28","0.55","-4.20","5.18e-05","0.00412"
"ENSG00000165269","AQP7","-4.51","1.05","-8.79","1.09e-14","6.27e-12"
"ENSG00000166250","CLMP","-2.49","0.46","-6.08","1.39e-08","2.54e-06"
"ENSG00000166819","PLIN1","-6.55","0.67","-10.30","2.62e-18","2.52e-15"
"ENSG00000167588","GPD1","-5.30","1.38","-8.21","2.56e-13","1.34e-10"
"ENSG00000167641","PPP1R14A","-2.21","2.16","-4.45","1.92e-05","0.00192"
"ENSG00000167676","PLIN4","-6.32","0.87","-10.62","4.29e-19","4.95e-16"
"ENSG00000167768","KRT1","-3.29","1.01","-4.39","2.45e-05","0.0023"
"ENSG00000168386","FILIP1L","-2.58","1.63","-4.29","3.65e-05","0.00314"
"ENSG00000168477","TNXB","-3.40","2.43","-4.66","8.05e-06","0.000859"
"ENSG00000168497","CAVIN2","-2.63","1.64","-3.96","0.000125","0.0082"
"ENSG00000169282","KCNAB1","-2.27","0.97","-4.03","9.68e-05","0.00676"
"ENSG00000170262","MRAP","-3.97","0.19","-14.56","1.65e-28","9.53e-25"
"ENSG00000170276","HSPB2","-2.19","0.58","-6.25","6.04e-09","1.16e-06"
"ENSG00000172137","CALB2","-2.62","0.83","-4.29","3.57e-05","0.00309"
