ens_id,name,log2FC,aveEXP,t,p-value,q-value
"ENSG00000002726","AOC1","3.10","2.25","11.76","2.74e-26","8.68e-27"
"ENSG00000003096","KLHL13","-2.45","2.92","-18.21","1.18e-49","9.72e-50"
"ENSG00000003249","DBNDD1","3.12","3.45","26.27","4.47e-78","1.29e-77"
"ENSG00000003436","TFPI","-2.42","3.14","-16.56","1.36e-43","8.67e-44"
"ENSG00000003989","SLC7A2","-2.22","2.44","-13.27","1.31e-31","5.18e-32"
"ENSG00000004776","HSPB6","-4.91","5.32","-26.30","3.51e-78","1.02e-77"
"ENSG00000004777","ARHGAP33","-2.08","3.23","-15.53","7.86e-40","4.3e-40"
"ENSG00000004799","PDK4","-3.38","3.62","-21.18","1.98e-60","2.54e-60"
"ENSG00000004838","ZMYND10","2.39","3.15","10.10","1.04e-20","2.65e-21"
"ENSG00000005001","PRSS22","2.97","2.69","17.42","9.41e-47","6.87e-47"
"ENSG00000005073","HOXA11","-3.36","3.88","-17.06","1.99e-45","1.38e-45"
"ENSG00000005243","COPZ2","-2.53","3.85","-22.42","7.39e-65","1.15e-64"
"ENSG00000005379","TSPOAP1","-2.28","4.44","-16.95","4.89e-45","3.31e-45"
"ENSG00000006118","TMEM132A","2.70","5.52","21.30","7.37e-61","9.59e-61"
"ENSG00000006377","DLX6","2.73","2.67","13.75","2.43e-33","1.02e-33"
"ENSG00000007062","PROM1","3.56","3.37","15.39","2.71e-39","1.46e-39"
"ENSG00000007866","TEAD3","-2.02","4.82","-19.98","3.97e-56","4.3e-56"
"ENSG00000008294","SPAG9","-2.02","4.00","-18.98","1.76e-52","1.65e-52"
"ENSG00000008311","AASS","-3.49","2.42","-30.24","6.83e-91","3.82e-90"
"ENSG00000008441","NFIX","-2.23","4.84","-14.70","8.5e-37","4.12e-37"
"ENSG00000008517","IL32","2.04","6.19","10.87","3.07e-23","8.64e-24"
"ENSG00000008710","PKD1","-3.30","5.11","-27.95","1.3e-83","4.93e-83"
"ENSG00000010295","IFFO1","-3.60","3.01","-36.51","1.98e-109","4.43e-108"
"ENSG00000011021","CLCN6","-2.04","2.78","-23.01","6.39e-67","1.08e-66"
"ENSG00000011426","ANLN","2.68","2.48","23.36","3.76e-68","6.73e-68"
"ENSG00000011465","DCN","-5.16","7.06","-28.08","5.12e-84","1.98e-83"
"ENSG00000012171","SEMA3B","-2.08","4.71","-14.28","2.82e-35","1.29e-35"
"ENSG00000012223","LTF","2.43","3.06","7.33","2.46e-12","4.38e-13"
"ENSG00000012822","CALCOCO1","-2.54","5.48","-23.73","2.04e-69","3.85e-69"
"ENSG00000013297","CLDN11","-2.15","1.86","-13.87","8.82e-34","3.77e-34"
"ENSG00000013810","TACC3","2.96","4.64","28.56","1.46e-85","6.17e-85"
"ENSG00000014914","MTMR11","-2.79","3.32","-23.97","2.87e-70","5.65e-70"
"ENSG00000018625","ATP1A2","-2.04","1.51","-14.16","7.75e-35","3.46e-35"
"ENSG00000019549","SNAI2","-3.06","2.95","-23.57","7.06e-69","1.3e-68"
"ENSG00000019991","HGF","-2.01","1.35","-23.83","9.06e-70","1.74e-69"
"ENSG00000020181","ADGRA2","-3.67","3.17","-31.53","7.32e-95","5.34e-94"
"ENSG00000020577","SAMD4A","-2.54","2.70","-22.05","1.55e-63","2.28e-63"
"ENSG00000021300","PLEKHB1","2.46","4.09","15.04","4.97e-38","2.53e-38"
"ENSG00000021762","OSBPL5","-2.22","3.79","-25.35","5.53e-75","1.38e-74"
"ENSG00000022267","FHL1","-5.96","4.76","-39.25","7.12e-117","2.83e-115"
"ENSG00000022556","NLRP2","2.36","2.17","9.57","5.24e-19","1.24e-19"
"ENSG00000024422","EHD2","-3.42","4.47","-30.69","2.67e-92","1.6e-91"
"ENSG00000025423","HSD17B6","-2.96","2.07","-24.78","4.84e-73","1.1e-72"
"ENSG00000026036","RTEL1-TNFRSF6B","-2.13","2.27","-20.15","9.98e-57","1.11e-56"
"ENSG00000026297","RNASET2","2.22","7.16","15.10","3.13e-38","1.61e-38"
"ENSG00000026559","KCNG1","-2.63","3.08","-14.13","1.05e-34","4.63e-35"
"ENSG00000029993","HMGB3","3.85","5.18","31.05","2.16e-93","1.39e-92"
"ENSG00000033327","GAB2","-2.13","2.93","-20.24","4.67e-57","5.26e-57"
"ENSG00000034510","TMSB10","2.15","11.67","21.32","6.08e-61","7.95e-61"
"ENSG00000035403","VCL","-2.30","5.61","-19.68","5.13e-55","5.29e-55"
"ENSG00000035499","DEPDC1B","2.27","1.82","22.25","2.95e-64","4.48e-64"
"ENSG00000035862","TIMP2","-3.04","6.78","-25.03","7.06e-74","1.68e-73"
"ENSG00000037042","TUBG2","-2.20","3.98","-24.32","1.88e-71","3.92e-71"
"ENSG00000037280","FLT4","-2.60","2.18","-32.34","2.43e-97","2.19e-96"
"ENSG00000039068","CDH1","4.65","4.49","27.90","1.88e-83","7.06e-83"
"ENSG00000042062","RIPOR3","-4.28","2.57","-33.93","4.68e-102","5.48e-101"
"ENSG00000046604","DSG2","2.49","3.42","17.95","1.01e-48","8e-49"
"ENSG00000047457","CP","4.09","4.75","15.53","8.18e-40","4.47e-40"
"ENSG00000047648","ARHGAP6","-3.36","1.76","-41.07","1.2e-121","7.18e-120"
"ENSG00000048540","LMO3","-2.47","2.52","-12.12","1.59e-27","5.32e-28"
"ENSG00000048740","CELF2","-2.07","2.38","-17.44","7.47e-47","5.49e-47"
"ENSG00000049246","PER3","-2.05","2.49","-18.92","2.92e-52","2.71e-52"
"ENSG00000049283","EPN3","2.56","2.47","17.31","2.3e-46","1.65e-46"
"ENSG00000049540","ELN","-2.92","4.28","-16.69","4.4e-44","2.85e-44"
"ENSG00000050628","PTGER3","-5.36","2.65","-36.15","2.11e-108","4.2e-107"
"ENSG00000051180","RAD51","2.42","2.38","25.63","6.18e-76","1.6e-75"
"ENSG00000051523","CYBA","2.50","7.49","21.18","1.95e-60","2.51e-60"
"ENSG00000052344","PRSS8","5.71","5.13","29.05","3.96e-87","1.82e-86"
