ens_id,name,log2FC,aveEXP,t,p-value,q-value
"ENSG00000000005","TNMD","2.21","1.27","7.88","8.97e-13","1.75e-13"
"ENSG00000000938","FGR","-2.27","2.82","-18.09","3.26e-38","3.6e-38"
"ENSG00000003249","DBNDD1","2.97","2.44","20.96","1.06e-44","2.11e-44"
"ENSG00000003402","CFLAR","-2.36","5.32","-21.96","7.65e-47","1.88e-46"
"ENSG00000003756","RBM5","-2.26","6.91","-21.54","5.85e-46","1.32e-45"
"ENSG00000003989","SLC7A2","-2.26","3.04","-14.88","1.87e-30","1.15e-30"
"ENSG00000004776","HSPB6","-3.10","7.40","-11.76","1.49e-22","5.37e-23"
"ENSG00000004799","PDK4","-3.27","4.61","-13.62","2.64e-27","1.3e-27"
"ENSG00000005073","HOXA11","-3.38","5.01","-18.92","3.83e-40","4.99e-40"
"ENSG00000005187","ACSM3","-2.96","4.71","-12.42","3.01e-24","1.22e-24"
"ENSG00000005379","TSPOAP1","-2.75","5.10","-17.69","2.74e-37","2.81e-37"
"ENSG00000006118","TMEM132A","2.47","4.68","15.11","4.97e-31","3.16e-31"
"ENSG00000006377","DLX6","2.39","1.54","11.12","6.76e-21","2.18e-21"
"ENSG00000006611","USH1C","2.13","1.14","10.81","4.06e-20","1.25e-20"
"ENSG00000007038","PRSS21","2.43","1.35","9.26","3.58e-16","8.61e-17"
"ENSG00000007062","PROM1","3.57","2.03","16.02","2.77e-33","2.07e-33"
"ENSG00000008311","AASS","-3.68","3.67","-32.95","3.17e-67","4.23e-66"
"ENSG00000008710","PKD1","-2.90","6.47","-25.11","2.86e-53","1.28e-52"
"ENSG00000009413","REV3L","-2.50","4.61","-21.25","2.55e-45","5.42e-45"
"ENSG00000010295","IFFO1","-3.93","4.13","-36.08","4.26e-72","8.36e-71"
"ENSG00000010322","NISCH","-2.18","6.04","-21.57","5.21e-46","1.19e-45"
"ENSG00000010404","IDS","-2.02","5.03","-19.63","9.45e-42","1.46e-41"
"ENSG00000011201","ANOS1","2.12","1.27","14.87","1.96e-30","1.2e-30"
"ENSG00000011426","ANLN","3.35","2.07","38.97","2.68e-76","7.62e-75"
"ENSG00000011465","DCN","-3.53","9.07","-13.28","2.01e-26","9.37e-27"
"ENSG00000012171","SEMA3B","-2.59","5.20","-15.94","4.46e-33","3.29e-33"
"ENSG00000012822","CALCOCO1","-2.34","6.36","-18.71","1.19e-39","1.49e-39"
"ENSG00000013441","CLK1","-2.11","7.09","-15.88","6.08e-33","4.43e-33"
"ENSG00000013810","TACC3","3.39","4.14","32.96","3.09e-67","4.17e-66"
"ENSG00000014914","MTMR11","-2.92","4.34","-22.62","3.01e-48","8.35e-48"
"ENSG00000015475","BID","2.09","3.94","25.53","4.26e-54","2.08e-53"
"ENSG00000018189","RUFY3","-2.14","5.24","-19.59","1.18e-41","1.79e-41"
"ENSG00000019505","SYT13","2.32","1.05","19.02","2.31e-40","3.08e-40"
"ENSG00000020577","SAMD4A","-2.37","3.68","-17.06","8.82e-36","8.05e-36"
"ENSG00000021762","OSBPL5","-2.13","4.48","-23.01","4.73e-49","1.42e-48"
"ENSG00000022267","FHL1","-4.00","7.25","-19.62","9.92e-42","1.52e-41"
"ENSG00000022556","NLRP2","2.39","1.43","9.62","4.45e-17","1.13e-17"
"ENSG00000024422","EHD2","-2.23","5.89","-13.43","8.14e-27","3.9e-27"
"ENSG00000024526","DEPDC1","2.49","1.16","32.32","3.4e-66","4.28e-65"
"ENSG00000025039","RRAGD","2.32","2.55","16.79","3.9e-35","3.39e-35"
"ENSG00000025423","HSD17B6","-2.91","2.88","-15.90","5.61e-33","4.09e-33"
"ENSG00000026036","RTEL1-TNFRSF6B","-2.42","3.19","-24.71","1.71e-52","7.06e-52"
"ENSG00000026103","FAS","-2.42","3.70","-19.41","2.98e-41","4.37e-41"
"ENSG00000026508","CD44","-2.57","6.43","-13.36","1.26e-26","5.97e-27"
"ENSG00000027075","PRKCH","-2.12","3.42","-19.15","1.12e-40","1.54e-40"
"ENSG00000029993","HMGB3","4.09","4.03","27.63","4.59e-58","3.26e-57"
